# N(H) (cm^-2)	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	1647.77579040618	0.9999859449684937	1.549604392217335e-6	3.5238265161319006e-10	3.9865630129757105e-13	0.
3.162243014816688e11	1647.7637613725187	0.9999859542520609	1.549605314134077e-6	3.529127573756382e-10	4.0599890261960356e-13	2.5364572377284244e-10
9.486729097174691e11	1647.822432371514	0.9999859528531617	1.549787448646682e-6	3.529106286373158e-10	4.071678624522504e-13	7.609371755476066e-10
2.2135701260796484e12	1647.8224522896485	0.9999859528525865	1.5497875565728392e-6	3.529106331341379e-10	4.080994759013983e-13	1.775520079009367e-9
4.743364558802885e12	1647.8224823109801	0.999985952851682	1.5497877389671392e-6	3.529106424610956e-10	4.090100923798061e-13	3.804685885931988e-9
9.80295342424441e12	1647.8225489853892	0.9999859528497361	1.5497881188907384e-6	3.5291066082441774e-10	4.0994591260063325e-13	7.863017499773261e-9
1.9922131155108215e13	1647.822678330189	0.9999859528459806	1.549788855932823e-6	3.529106975942649e-10	4.10928805753347e-13	1.597968072744037e-8
4.0160486616758836e13	1647.8229374294283	0.9999859528385385	1.549790311023451e-6	3.529107709135145e-10	4.1197147524311083e-13	3.221300718271284e-8
8.0637197539774e13	1647.823422126807	0.9999859528246093	1.5497930771723491e-6	3.529109183545794e-10	4.1308265354888777e-13	6.467966009302831e-8
1.615906193846827e14	1647.8243769386281	0.9999859527974094	1.549798484241273e-6	3.529112129353096e-10	4.1426951966955997e-13	1.2961296591275957e-7
3.234974630702062e14	1647.8262136900503	0.9999859527453708	1.5498089114606269e-6	3.529118030698737e-10	4.1553893755654833e-13	2.594795775487779e-7
6.47311150424783e14	1647.829757738145	0.9999859526456402	1.5498290389962171e-6	3.5291298466125856e-10	4.16898651347642e-13	5.192128008076039e-7
1.2949385250708852e15	1647.836584242815	0.9999859524549743	1.5498678204714648e-6	3.529153504984643e-10	4.183586584264471e-13	1.0386792472746817e-6
2.590193274122564e15	1647.8496966360005	0.9999859520917685	1.5499423491667318e-6	3.529200878723708e-10	4.199334964434844e-13	2.07761214001591e-6
5.180702771310076e15	1647.874851889143	0.9999859514016584	1.5500852844596255e-6	3.5292957298181213e-10	4.2164641171762424e-13	4.1554779247637605e-6
1.0361721762216586e16	1647.922903759198	0.9999859500977906	1.5503583027774366e-6	3.529485668183295e-10	4.235368593491648e-13	8.311209491477341e-6
2.0723759730955948e16	1648.014377591906	0.9999859476478297	1.550877684437812e-6	3.5298660292400074e-10	4.256747013863283e-13	0.000016622672614418035
4.144783561950785e16	1648.187595256346	0.9999859430808126	1.551860229384418e-6	3.5306278575446034e-10	4.28186064975398e-13	0.00003324559882105487
8.289598721513173e16	1648.5136473703258	0.9999859345417692	1.553706441912447e-6	3.532091181034944e-10	4.3129719824737936e-13	0.00006649145108876222
1.6579228973214458e17	1649.1225257637939	0.9999859187354161	1.5571470438091318e-6	3.5348918023162117e-10	4.3542244611296165e-13	0.0001329831550833684
3.315848922896823e17	1650.2493625609152	0.9999858898575199	1.5635009318462298e-6	3.540254609391823e-10	4.413232219815393e-13	0.00026596656108617245
6.631700884572402e17	1652.312540690467	0.999985837267411	1.5751220633250187e-6	3.5501517569589753e-10	4.503798107134636e-13	0.0005319333659149141
1.3263404485093356e18	1656.0603927932523	0.9999857426757519	1.5962523239446402e-6	3.568456691973415e-10	4.651964909769753e-13	0.001063866949677961
2.6526810536066396e18	1662.8375326490634	0.9999855717610214	1.6346956782269692e-6	3.6012438723781073e-10	4.907170461340652e-13	0.0021277340249562264
5.30536184991546e18	1675.1573603396987	0.9999852599829769	1.7058271592701785e-6	3.6600798682667585e-10	5.371563306932792e-13	0.004255467843532072
1.0610721924616501e19	1698.0972182358266	0.9999846675142338	1.843937422189747e-6	3.7656490851246057e-10	6.282103378200346e-13	0.008510934263152244
2.1221436153919295e19	1743.5863388737469	0.9999834103366031	2.1460296154026526e-6	3.9517638402579e-10	8.31658358914115e-13	0.017021862353839547
4.2442836398355735e19	1852.4856136564258	0.9999797187559673	3.1136614581509617e-6	4.2947673176159833e-10	1.4668725034357454e-12	0.03404369590443176
