# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4693077696805617e-10	9.446600048882235e-10
0.	20.416	7.276846351228245e-20	7.350128701124398e-17	8.288232613548633e-18	-8.146395898781537e-19	-2.3380997863750995e-17	-3.847649057787626e-20	-2.3133879214643332e-17	-8.570723880105719e-21
3.1621464049372046e11	20.408974332125858	7.286380771767584e-20	7.369586235509421e-17	8.304689970906593e-18	-8.11481689008483e-19	-2.3214562599455137e-17	-3.7074107696139415e-20	-2.3592278236076036e-17	-8.293704508784854e-21
9.486438654735994e11	20.40897404578328	7.290942293893451e-20	7.366685278097243e-17	8.310066093690335e-18	-8.102608660658238e-19	-2.318470242146195e-17	-3.687263210008741e-20	-2.3635924199848068e-17	-8.25851921559077e-21
2.213502248044481e12	20.408974670563826	7.296533305757242e-20	7.359297058642892e-17	8.317706286530634e-18	-8.084048442278325e-19	-2.3150429338748748e-17	-3.6669138179715557e-20	-2.3658842676423365e-17	-8.228955360822224e-21
4.74321878167894e12	20.408974703653712	7.304637703229918e-20	7.344940405278752e-17	8.329865112386744e-18	-8.053634491854271e-19	-2.3102977251123535e-17	-3.641766286488165e-20	-2.3660352250686714e-17	-8.20029286898967e-21
9.802651025699846e12	20.408974750827998	7.317280098551832e-20	7.318874402186315e-17	8.349823886472464e-18	-8.002529115532621e-19	-2.3030960903166735e-17	-3.607050446354609e-20	-2.3628552339769617e-17	-8.170828270914471e-21
1.992151257394303e13	20.408973666716363	7.337678257040804e-20	7.272785078963319e-17	8.382753732666617e-18	-7.916140089312668e-19	-2.2915989927973285e-17	-3.555780694224342e-20	-2.3539818307051192e-17	-8.139498866248325e-21
4.0159225252324336e13	20.408973912429996	7.370965901845517e-20	7.191904204935778e-17	8.43640995855677e-18	-7.770512815899832e-19	-2.2727317532954853e-17	-3.477415291417152e-20	-2.3351814613210817e-17	-8.105213182317182e-21
8.063461416913453e13	20.408971989920364	7.425077073801499e-20	7.048709947153053e-17	8.520747101443147e-18	-7.526780243558925e-19	-2.2413498492970914e-17	-3.3573442427949514e-20	-2.298810757091871e-17	-8.066640264373045e-21
1.6158526661235597e14	20.408969342366788	7.51157050973155e-20	6.787626651981503e-17	8.640562642572692e-18	-7.122928282480955e-19	-2.188930989941425e-17	-3.1796725270457986e-20	-2.230477073885975e-17	-8.022598779900516e-21
3.234861589854757e14	20.408964066265153	7.645212150212463e-20	6.282512100551667e-17	8.74823316261828e-18	-6.460165328154328e-19	-2.1023304255521528e-17	-2.94719469800324e-20	-2.099589814037808e-17	-7.977745483026407e-21
6.472868280399979e14	20.408953514061867	7.83285501443523e-20	5.223521065583355e-17	8.387422037430469e-18	-5.405789069360197e-19	-1.9696670869205168e-17	-2.7912893754791307e-20	-1.8326093140741724e-17	-7.991451496616584e-21
1.2948924717464692e15	20.408933626126498	7.844532410119147e-20	2.991686196235972e-17	5.449158012957648e-18	-3.937170250931479e-19	-1.9394428805865863e-17	-6.064968764959118e-20	-1.1856551768263738e-17	-8.443277532986148e-21
2.1583989209952505e15	20.40890584172681	7.718913429766444e-20	1.3297943053891713e-17	2.6169409900831498e-18	-1.622485108915383e-19	-1.610154225905772e-17	-3.7074374110700616e-19	-1.1099731784961496e-19	-6.306117270817612e-21
3.309749025699827e15	20.408868466392157	8.495556316351446e-20	5.8540508405574425e-18	1.3015268040611875e-18	-5.721345161242036e-20	-7.198693826094056e-18	-3.331545225822659e-19	-1.4963825249661884e-20	-5.7458655191804315e-21
5.612449235466127e15	20.408794780150053	8.742074479581982e-20	2.8433546680710803e-18	6.653681591456547e-19	-3.0753331535731964e-20	-3.4375297759525817e-18	-2.965033388571848e-19	-8.865749850130173e-21	-5.066376268834453e-21
1.0217849584577528e16	20.40864740766585	8.859170175508318e-20	1.537256124493599e-18	3.5531827578584692e-19	-1.993926836955367e-20	-1.781411870746852e-18	-2.602881110294525e-19	-7.62897732958061e-21	-4.639335984954437e-21
1.9428650076748868e16	20.40835296678543	8.920379855051219e-20	9.598659938688839e-19	2.1305775934668385e-19	-1.4803207810323612e-20	-1.0566047338025276e-18	-2.305310733581394e-19	-7.687754588520904e-21	-4.402355975301139e-21
3.785025060175413e16	20.407763476729393	8.955203613634134e-20	6.685190990203899e-19	1.4520667655613003e-19	-1.1976503087866763e-20	-7.042776128871884e-19	-2.0776316150574754e-19	-7.97165920772243e-21	-4.257179184009538e-21
7.469345080145598e16	20.40630719074607	8.976555097312815e-20	4.921327595296404e-19	1.0879239712491894e-19	-1.0136228775432053e-20	-5.022549588571218e-19	-1.8946692294184513e-19	-8.128913988637892e-21	-4.15189074976816e-21
1.4837984968425306e17	20.402377562046052	8.989245665408655e-20	3.675259383334826e-19	8.560276897195425e-20	-8.734598690509576e-21	-3.667452733436023e-19	-1.731882949341757e-19	-8.173074457693666e-21	-4.0634121700661874e-21
2.9575264447991616e17	20.396014157772065	8.992638325516643e-20	2.7187621940114625e-19	6.827678834241642e-20	-7.552048613113662e-21	-2.6680393974095065e-19	-1.5751126364732313e-19	-8.184968756748786e-21	-3.981901435635013e-21
5.904982277212388e17	20.384834109306336	8.982594346250812e-20	1.9737759815103028e-19	5.429352228426024e-20	-6.519597256865885e-21	-1.9158845782021747e-19	-1.4210037767683966e-19	-8.22450799965819e-21	-3.903773208164492e-21
1.1799893805754058e18	20.363228428304197	8.949292737081394e-20	1.4061296233551429e-19	4.2984694255853165e-20	-5.627185746648744e-21	-1.3633950107811066e-19	-1.2727527422119372e-19	-8.319309419152027e-21	-3.829700138560618e-21
2.3589716587364e18	20.325541339874267	8.877139649899906e-20	9.860425479202331e-20	3.405128969996324e-20	-4.872780407123145e-21	-9.700930692745092e-20	-1.1346751956494606e-19	-8.518898065729556e-21	-3.761754814425327e-21
4.716936164141084e18	20.258036982481368	8.737981563826749e-20	6.820210393971925e-20	2.7215514908934224e-20	-4.2464078271658566e-21	-6.956920841924796e-20	-1.0088189740722905e-19	-8.941824169903936e-21	-3.704939266688632e-21
9.432865088768018e18	20.14156451624632	8.493756176202973e-20	4.6439873106729575e-20	2.2064563080349735e-20	-3.724146976811634e-21	-5.021967775438459e-20	-8.92655113789112e-20	-9.833542315146685e-21	-3.661417607453342e-21
1.88647228029349e19	19.940645050764083	8.079801118837204e-20	3.0867516409004103e-20	1.8141008443701894e-20	-3.2646407708149452e-21	-3.574712803297575e-20	-7.771348438237981e-20	-1.1701458433208319e-20	-3.627676613930369e-21
3.772843803844201e19	19.599335917428135	7.406185748723108e-20	1.9658732547179448e-20	1.499304614813398e-20	-2.802248718483021e-21	-2.3615095920837373e-20	-6.44133590966099e-20	-1.569757904965062e-20	-3.569281914196261e-21
7.545586833633676e19	19.033961464524268	6.391034931564943e-20	1.1568307430407016e-20	1.2062677012028206e-20	-2.2049937770753744e-21	-1.2032893487003724e-20	-4.577941566254931e-20	-2.4760209999999913e-20	-3.294508664218466e-21
1.509107300875643e20	18.102900210380554	4.977448172163047e-20	5.857616628308558e-21	8.09295738473561e-21	-1.2288295668815314e-21	-2.485750864780559e-21	-1.8360004229882917e-20	-3.938996886338595e-20	-2.1065781775200065e-21
2.5258661238511724e20	17.046427891254424	3.6815472580333025e-20	2.776407989164766e-21	3.0656436299885515e-21	-4.851341500951848e-22	-2.6497218103686776e-22	-2.727487325362153e-21	-3.8574564614414426e-20	-4.896954477133848e-22
3.542625051815784e20	16.135212456583975	2.803033582616537e-20	1.604719350262865e-21	1.3995275239931291e-21	-4.41190446236311e-22	-1.2405682813746226e-22	-7.666153868993588e-22	-2.942304322622783e-20	-1.8639064908421934e-22
4.559384019733075e20	15.296648737579584	2.1349689930214148e-20	1.0025399127819963e-21	8.136163520611858e-22	-4.611934937339655e-22	-7.71118515964689e-23	-3.036385575411815e-22	-2.2153569506219613e-20	-1.0928997096216952e-22
5.576143003479984e20	14.520732680439949	1.65078932798359e-20	6.548456771415582e-22	5.457354389672026e-22	-4.883098284217993e-22	-5.067048302750746e-23	-1.426854093294652e-22	-1.6930879402331477e-20	-7.832069311152219e-23
