# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	3.1186e-8
2	1.374e-7
3	1.9287e-7
4	1.3114e-7
5	3.0535e-8
6	2.4525e-9
7	1.371e-10
8	6.8908e-12
9	5.1713e-13
10	9.3357e-14
11	2.2526e-14
12	5.6054e-15
13	1.4605e-15
14	3.693e-16
15	6.8341e-17
16	1.7415e-17
17	3.2249e-18
18	4.6485e-19
19	2.5536e-20
20	7.0732e-22
21	0.
22	0.
23	0.
24	0.
25	0.
26	0.
27	0.
28	0.
29	0.
30	0.
31	0.
32	0.
33	0.
34	0.
35	0.
36	0.
37	0.
38	0.
39	0.
40	0.
41	0.
42	0.
43	0.
44	0.
45	0.
46	0.
47	0.
48	0.
49	0.
