# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	2.2551e-7
2	2.1106e-6
3	7.1746e-6
4	0.000016058
5	0.000027984
6	0.000040265
7	0.000048959
8	0.000049604
9	0.000040886
10	0.000023397
11	0.000011723
12	9.1407e-6
13	8.7611e-6
14	8.4282e-6
15	7.8264e-6
16	6.979e-6
17	5.9632e-6
18	4.9078e-6
19	3.9383e-6
20	3.0695e-6
21	2.3322e-6
22	1.7376e-6
23	1.275e-6
24	9.3162e-7
25	6.8652e-7
26	5.2568e-7
27	4.2522e-7
28	3.6012e-7
29	3.1367e-7
30	2.7634e-7
31	2.4425e-7
32	2.1532e-7
33	1.8884e-7
34	1.6436e-7
35	1.4185e-7
36	1.2136e-7
37	1.0298e-7
38	8.6666e-8
39	7.2367e-8
40	5.996e-8
41	4.9319e-8
42	4.0308e-8
43	3.2736e-8
44	2.6438e-8
45	2.1251e-8
46	1.7007e-8
47	1.3582e-8
48	1.0835e-8
49	8.6462e-9
