# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	1.147e-7
2	9.2558e-7
3	2.7119e-6
4	4.9851e-6
5	6.4382e-6
6	5.574e-6
7	2.7101e-6
8	5.499e-7
9	8.42e-8
10	1.5268e-8
11	6.5003e-9
12	6.1011e-9
13	6.5024e-9
14	6.6063e-9
15	6.3655e-9
16	5.8493e-9
17	5.137e-9
18	4.3326e-9
19	3.5512e-9
20	2.8215e-9
21	2.1801e-9
22	1.6463e-9
23	1.2176e-9
24	8.9128e-10
25	6.5104e-10
26	4.7611e-10
27	3.4999e-10
28	2.6456e-10
29	2.1088e-10
30	1.7605e-10
31	1.5111e-10
32	1.3109e-10
33	1.1389e-10
34	9.8599e-11
35	8.4842e-11
36	7.2474e-11
37	6.1437e-11
38	5.1654e-11
39	4.3076e-11
40	3.5619e-11
41	2.9207e-11
42	2.3757e-11
43	1.9164e-11
44	1.5331e-11
45	1.2164e-11
46	9.5671e-12
47	7.4672e-12
48	5.783e-12
49	4.4436e-12
