# N(H) (cm^-2)	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	828.8399843598493	0.9136682528950403	0.043145138753379615	0.00003170851292679153	0.00005657385578081874	0.
3.1621464049372046e11	826.7321213479144	0.9133457052761532	0.043306360260902954	0.00003068522204963727	0.00005783979715160705	2.5363797462684377e-10
9.486438654735994e11	825.9117808495467	0.9130958991691006	0.04343124282680273	0.000030555658072211064	0.00005800404601914987	7.609138789564739e-10
2.213502248044481e12	824.6710086532713	0.9126776446932279	0.043640336941711044	0.000030447205041757802	0.00005814738070496269	1.7754656335626456e-9
4.74321878167894e12	822.6357469478495	0.9119478324214386	0.04400518485435042	0.000030342680657097984	0.00005829482228902339	3.804568957081362e-9
9.802651025699846e12	819.2100633874431	0.9106566533167999	0.04465067040702018	0.000030236235116664256	0.000058460279387252367	7.862774943785805e-9
1.992151257394303e13	813.402626318524	0.9083492008789797	0.04580421155019715	0.000030124707780795434	0.000058658676336796315	1.5979184559161653e-8
4.0159225252324336e13	803.5648850952439	0.9041576759514156	0.04789964866735271	0.00003000540033531361	0.000058910429458829986	3.2211995433478414e-8
8.063461416913453e13	786.9610235192373	0.8962885062959888	0.05183367240955693	0.000029875791988988396	0.000059242515659634255	6.467758795337127e-8
1.6158526661235597e14	759.0488294386951	0.8805020840420961	0.05972594591646924	0.000029736079430807232	0.00005968094061607979	1.2960867241664104e-7
3.234861589854757e14	712.045115836348	0.8443765937758246	0.07778728959372341	0.000029613331235437783	0.00006019145527916949	2.594705104633591e-7
6.472868280399979e14	633.8519498047862	0.7380092668094648	0.1309701225138585	0.000029752164677530685	0.000060295021807347504	5.19193291652666e-7
1.2948924717464692e15	515.7263324847595	0.4155541003232591	0.2922130940729047	0.000031634739649765165	0.00005256073154372931	1.0386423075810878e-6
2.1583989209952505e15	291.7793358542878	0.1550270290921681	0.4224864495037437	0.00002425475312809029	1.1298138034237278e-6	1.7312668695644147e-6
3.309749025699827e15	152.68933570703743	0.07239094235358097	0.46380450736543827	0.00002340206602053989	4.1576889314302435e-7	2.654772840659616e-6
5.612449235466127e15	105.81635716488165	0.038561378585539534	0.48071928446728707	0.000021837479876334783	4.535892272600648e-7	4.5017847831364886e-6
1.0217849584577528e16	82.95051827511529	0.021623898139542845	0.4891880154844633	0.00002110054361217407	5.983440713315888e-7	8.195808611604899e-6
1.9428650076748868e16	70.70191361586178	0.013488745179227542	0.493255579850608	0.000020944068003790836	8.072121632506549e-7	0.0000155838561032664
3.785025060175413e16	63.38165244712579	0.009472404465031736	0.4952637378735588	0.000021002928593000507	1.0294227297257973e-6	0.000030359950718151637
7.469345080145598e16	58.32270913395308	0.00727090902869945	0.49636447460446514	0.000021132990539940304	1.2333887178305446e-6	0.00005991213926588359
1.4837984968425306e17	54.27598910131995	0.005847516549682397	0.49707616078140443	0.000021307913866236667	1.4287306765823632e-6	0.00011901651514486672
2.9575264447991616e17	50.70171634606186	0.004765045248681492	0.49761738612727346	0.000021534723402137652	1.64075080102002e-6	0.0002372252645206305
5.904982277212388e17	47.43816332477154	0.0038718289055303546	0.49806398313485284	0.000021817324975594027	1.888781108679699e-6	0.0004736427581787758
1.1799893805754058e18	44.48600223926778	0.0031316724000796338	0.4984340496346147	0.000022154750214011832	2.183169562862308e-6	0.0009464777345635686
2.3589716587364e18	41.87422452671387	0.002532510041156617	0.4987336193274758	0.00002254225480654703	2.5397205138348786e-6	0.0018921476652372404
4.716936164141084e18	39.60360342931395	0.0020636842566284378	0.49896802194431	0.000022993992692413332	3.003845478161786e-6	0.0037834874857434575
9.432865088768018e18	37.60790795435959	0.0017037686552925807	0.49914797126949983	0.000023530312345857546	3.6969430434992375e-6	0.007566167057628361
1.88647228029349e19	35.74253894598994	0.0014262437867414912	0.4992867271589051	0.00002418595841532857	4.926138749641161e-6	0.015131526093043949
3.772843803844201e19	33.7264041149792	0.001203350579256393	0.49939816928099	0.000024893705212033586	7.5554835305908556e-6	0.030262244009207517
7.545586833633676e19	30.926383520840687	0.0009989559584514989	0.4995003659465321	0.000024735127502751514	0.000014746242112154558	0.060523679702674325
1.509107300875643e20	25.927759700916734	0.0007161381629927079	0.4996417919904658	0.000018858499963472815	0.000038257106032770546	0.12104655201639286
2.5258661238511724e20	21.117492601534103	0.0002936950010592165	0.49985308383223903	5.656486021701268e-6	0.00007713215602887377	0.20260148829032165
3.542625051815784e20	19.873443368568083	0.0001369901676249696	0.49993146971794855	2.348412125264535e-6	0.00008817215168661262	0.2841564329854982
4.559384019733075e20	19.145874596685278	0.00008064087704127222	0.4999596561744433	1.4562082814348458e-6	0.00009143579728920454	0.3657113808853071
5.576143003479984e20	18.536369307250755	0.00005467749698508556	0.49997264319185886	1.0972364734741088e-6	0.00009274579375456923	0.44726633005482075
6.592901995114091e20	18.013533768637917	0.000040694630887587276	0.49997963744863183	9.132027337834443e-7	0.00009338209544851688	0.5288212798569719
7.609660991167876e20	18.176313782669702	0.00003233754332346656	0.49998381745930703	6.85485299275742e-7	0.00009383364991922966	0.6103762300136287
8.626419989521021e20	18.257986423483157	0.00002710384621604455	0.49998643519047997	5.511363195929568e-7	0.00009409862678854391	0.6919311803547188
9.643178989298216e20	18.259196919509193	0.00002374451015577016	0.4999881154156546	4.7246283016512254e-7	0.00009425731314386619	0.7734861308100328
1.0659937989994937e21	18.189298257266024	0.000021513040965826284	0.4999892315131997	4.301745269558956e-7	0.00009435059938004538	0.8550410813391027
1.1676696991302316e21	18.053716463920814	0.000020021553662678615	0.49998997749605817	4.141230340664217e-7	0.00009440039676941114	0.9365960319171539
1.2693455993018004e21	17.854719357000704	0.000019015201684005258	0.4999904808252653	4.1939838592637164e-7	0.00009441837482761173	1.018150982527956
1.371021499499657e21	17.591279739688787	0.000018325638011596023	0.49999082569298176	4.4471685533947434e-7	0.00009440989296113133	1.0997059331598433
1.4726973997119006e21	17.259366022555728	0.000017870473056627795	0.49999105329914934	4.920130145323755e-7	0.00009437560185733913	1.1812608838032708
1.5743732999270108e21	16.85083593395547	0.000017578709301979944	0.4999911991355817	5.671241015170748e-7	0.00009431143604463933	1.2628158344489977
1.6760492001316435e21	16.35184132689467	0.000017411333635423562	0.4999912826863012	6.819340848373287e-7	0.00009420689804462418	1.3443707850863205
1.7777251003076116e21	15.73904766626038	0.00001732382448882478	0.4999913261614183	8.593633450348677e-7	0.00009404043936904264	1.4259257357006512
1.8794010004262473e21	14.972631059591457	0.00001732184941201846	0.4999913266077267	1.1440016108943362e-6	0.0000937693017303556	1.507480686268995
1.9810769004345539e21	13.977457170967408	0.000017391923968971165	0.4999912904150718	1.6199382552800993e-6	0.00009331260387166328	1.5890356367488432
2.082752800207804e21	13.803238853270818	0.000017323861170057336	0.49999132413160985	1.7116614477488505e-6	0.00009322535346364799	1.6705905870401512
2.1844286999165694e21	13.69011605834965	0.000017257929636528145	0.4999913568291546	1.7812498180572167e-6	0.00009315914619558134	1.752145537279735
2.28610459957078e21	13.563421524935762	0.000017216291098421273	0.49999137733933063	1.8570612151789838e-6	0.00009308678731580724	1.8337004874755602
2.3877804991621575e21	13.421689408430804	0.000017188626202955963	0.49999139081205096	1.93800823585338e-6	0.0000930094139255372	1.915255437620987
2.4894563986804336e21	13.26469329264203	0.000017156261695389947	0.4999914065700076	2.0227017015282214e-6	0.00009292844853746416	1.996810387707778
2.5911322981125346e21	13.091937214670866	0.000017153371414482577	0.4999914075074012	2.1092546832250917e-6	0.00009284579897533806	2.078365337725448
2.692808197441474e21	12.902464131321457	0.000017138391281902015	0.49999141437734224	2.194857208669658e-6	0.00009276428393517494	2.1599202876603707
2.794484096644437e21	12.695825662564427	0.00001714718143104554	0.4999914092062423	2.275149458616959e-6	0.00009268825211662729	2.2414752374942473
2.8961599956897964e21	12.470631992549762	0.000017147629604741383	0.4999914079806656	2.3435651542900917e-6	0.00009262424650080914	2.3230301872017085
2.997835894531792e21	12.225410044617798	0.0000171627823911008	0.49999139905823176	2.3895733018639715e-6	0.00009258274353502065	2.4045851367460505
3.0995117931003207e21	11.961751086813136	0.00001718341840304153	0.4999913868247083	2.3959426879165665e-6	0.0000925808813068978	2.486140086071043
3.201187691279763e21	11.676657769029779	0.00001720891732785828	0.4999913711140159	2.333240193803079e-6	0.00009264794932368776	2.567695035083946
3.3028635888576784e21	11.371684867513377	0.00001725144035626514	0.4999913446048799	2.146062028135406e-6	0.00009283912365906702	2.649249983614361
3.404539485369532e21	11.185484659402748	0.000017271658789003812	0.4999913296962552	1.9635975901410785e-6	0.00009302341163873721	2.7308049312896796
3.50621538090475e21	11.129639742600581	0.000017285879960315594	0.49999132113287664	1.910321049312807e-6	0.00009307706628155792	2.812359878181632
3.6078912761432417e21	11.089505419149674	0.00001728419979559074	0.49999132031261345	1.851694119837376e-6	0.00009313605573542539	2.8939148248355786
3.709567171044327e21	11.047366725725771	0.00001728954374199183	0.4999913157348104	1.78713023279001e-6	0.00009320096604408226	2.9754697712188882
3.811243065558054e21	11.003337509387158	0.00001729515964271008	0.4999913107136709	1.7158997938736253e-6	0.00009327252528421811	3.057024717291496
3.9129189596220217e21	10.957404504042373	0.000017301499846200975	0.4999913049389053	1.6371511035844688e-6	0.00009335158364178445	3.1385796630033482
4.0145948531565207e21	10.909962172786864	0.000017312879743928845	0.4999912961327908	1.5498761794306774e-6	0.00009343914760810629	3.2201346082905102
4.1162707460576473e21	10.860848292303405	0.000017326311535539322	0.49999128561323725	1.4528629138963435e-6	0.00009353642707832661	3.30168955306964
4.217946638185719e21	10.809863040471933	0.00001734113098067897	0.49999127344509287	1.3446221288606937e-6	0.00009364490809301105	3.3832444972286964
4.319622529346484e21	10.757490650428387	0.000017351357934556198	0.4999912621799914	1.2233105537677128e-6	0.00009376642960144476	3.4647994406118694
4.421298419256892e21	10.703398024809871	0.000017374853460488276	0.4999912421262428	1.0865620184286107e-6	0.00009390335148836928	3.5463543829921225
4.5229743074788754e21	10.647268948077848	0.000017407127151539915	0.49999121405170804	9.31219275986297e-7	0.00009405881635115116	3.6279093240180784
4.624650193274273e21	10.587952225960299	0.000017453598259676896	0.4999911719121631	7.527637534974593e-7	0.0000942373069114359	3.7094642630976526
