# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4726462065260966e-10	9.910408820067411e-10
0.	20.457	2.652357429621442e-22	9.341283277279988e-24	1.6915825410015016e-22	-2.5599436032436775e-25	-4.9414048219021706e-23	-4.338396243341299e-22	0.	-4.030154678991076e-26
9.999338163150821e8	20.455648817658425	2.6516476626778155e-22	9.340236321278487e-24	1.6915288186787223e-22	-2.5592111345272906e-25	-4.9389087830477414e-23	-4.337860603163988e-22	0.	-4.031410512374596e-26
2.999801460136721e9	20.455648817420006	2.651647505501816e-22	9.340278494799116e-24	1.6915351874236041e-22	-2.5592647790345334e-25	-4.938934221823455e-23	-4.33786604647568e-22	0.	-4.031409841482405e-26
6.999536747761978e9	20.455649426549673	2.6516475049201584e-22	9.340277283961743e-24	1.6915351873048317e-22	-2.559264779691302e-25	-4.9389342235522446e-23	-4.337866045525155e-22	0.	-4.031409824925575e-26
1.499900732301397e10	20.455649425595997	2.6516475041417667e-22	9.340274894056829e-24	1.6915351841192698e-22	-2.5592647556000433e-25	-4.9389342119064916e-23	-4.337866041579753e-22	0.	-4.0314098049563354e-26
3.099794847352296e10	20.45564820435643	2.651647502717662e-22	9.340270399933699e-24	1.691535183464978e-22	-2.559264755310126e-25	-4.938934210258437e-23	-4.337866039417838e-22	0.	-4.0314097765656535e-26
6.2995830774558426e10	20.455649419754742	2.651647500035552e-22	9.340261670434685e-24	1.691535187909436e-22	-2.559264802612154e-25	-4.93893422856256e-23	-4.337866040855578e-22	0.	-4.031409731948044e-26
1.269915953767048e11	20.45564880234003	2.651647495394767e-22	9.340244713480586e-24	1.6915351797920877e-22	-2.559264754161059e-25	-4.938934204158675e-23	-4.337866031885971e-22	0.	-4.0314096583302905e-26
2.549831245812733e11	20.455648786783218	2.651647486224957e-22	9.340212309922355e-24	1.691535177892416e-22	-2.5592647758889234e-25	-4.938934205095888e-23	-4.33786602593765e-22	0.	-4.031409527159194e-26
5.1096618299147833e11	20.455648755669593	2.651647468442641e-22	9.340150393759542e-24	1.6915351692824577e-22	-2.5592647794196557e-25	-4.938934213470671e-23	-4.337866017029382e-22	0.	-4.0314092880669866e-26
1.0229322998159683e12	20.45564808383584	2.651647433642583e-22	9.340032996494193e-24	1.691535153350562e-22	-2.559264795095884e-25	-4.9389342602093124e-23	-4.337866007659934e-22	0.	-4.031408844398854e-26
2.0468645334804224e12	20.455648569047447	2.6516473650797797e-22	9.339812417386922e-24	1.6915351276716373e-22	-2.559264876896734e-25	-4.938934455370404e-23	-4.337866013548327e-22	0.	-4.031408015277855e-26
4.0947290008678574e12	20.45564832019806	2.6516472301759395e-22	9.339401973846284e-24	1.6915350749231823e-22	-2.559265025498801e-25	-4.938935008607625e-23	-4.337866064790096e-22	0.	-4.031406467734152e-26
8.190457935862135e12	20.45564843210578	2.6516469647992924e-22	9.338645019405906e-24	1.6915349885124298e-22	-2.55926546456791e-25	-4.938936458067819e-23	-4.337866248877374e-22	0.	-4.031403589467859e-26
1.6381915806670633e13	20.45564743670821	2.6516464461406106e-22	9.337258317545943e-24	1.6915348326184027e-22	-2.5592663968005706e-25	-4.938939614996384e-23	-4.33786668812322e-22	0.	-4.0313982750594816e-26
3.2764831551339887e13	20.455644836246965	2.6516454388121925e-22	9.334733682722037e-24	1.691534552435678e-22	-2.55926824915978e-25	-4.9389457506502546e-23	-4.337867560544442e-22	0.	-4.031388551139099e-26
6.553066305197355e13	20.455640854597092	2.6516434879560502e-22	9.330165866449134e-24	1.691534042417186e-22	-2.5592717668901463e-25	-4.9389573235011615e-23	-4.33786922054998e-22	0.	-4.0313709085595585e-26
1.310623260946773e14	20.455633500903843	2.6516397087167176e-22	9.32197096650435e-24	1.6915331308773086e-22	-2.5592785893191197e-25	-4.938979904007607e-23	-4.337872547549067e-22	0.	-4.031339157813512e-26
2.6212565233067466e14	20.45561757430434	2.6516323831196885e-22	9.307414711079424e-24	1.6915315562638586e-22	-2.559292247771543e-25	-4.9390252184294455e-23	-4.33787948460059e-22	0.	-4.0312825261673884e-26
5.242523053452013e14	20.455585721105336	2.651618172426129e-22	9.281850456512104e-24	1.6915289310777098e-22	-2.559320126851697e-25	-4.939117690062636e-23	-4.337894235810439e-22	0.	-4.0311824912084106e-26
1.0485056133130692e15	20.455520795375108	2.6515905554426844e-22	9.237568143093247e-24	1.691524750690974e-22	-2.5593781211497333e-25	-4.939310383330826e-23	-4.337926307328132e-22	0.	-4.0310075138741177e-26
