NH	T	H	H2	C	CO
682400006157000000	713	0.9935632293	0.000000009	1.19695570190832E-010	6.33676548286803E-018
2734000020770000000	443.3	0.9948870594	7.08490784600143E-009	1.38598197241468E-010	6.51491525994345E-018
3065000023110000000	434.5	0.9949358107	0.000000007	1.3990503559607E-010	6.53423518645263E-018
3554000026570000000	434.3	0.9949358107	0.000000007	1.40005039195076E-010	6.53923536640428E-018
4190000031080000000	434.6	0.9949328258	7.05423273991986E-009	1.40204625763647E-010	6.54521594595626E-018
5016000036940000000	433.6	0.9949407856	7.05528921708283E-009	1.40505759744881E-010	6.55626876076472E-018
6090000044560000000	433.3	0.9949397906	7.06428252139876E-009	1.40805631230598E-010	6.56626260412009E-018
7486000054500000000	433.2	0.9949417805	7.07829723838382E-009	1.4120592964959E-010	6.58227640901983E-018
9302000067440000000	433.2	0.9949457604	7.09632638065798E-009	1.41606512894753E-010	6.60330370511339E-018
11660000084340000000	433.2	0.9949487454	7.12134889538475E-009	1.42206967128733E-010	6.63032483870255E-018
14730000106400000000	433.5	0.9949532301	7.15566363260334E-009	1.42893282993155E-010	6.66568666502709E-018
18720000135300000000	433.7	0.9949611893	7.19971915911482E-009	1.43794390983432E-010	6.71373811587457E-018
23900000173100000000	434.1	0.9949721336	7.25879670100077E-009	1.44795944662476E-010	6.77781017211506E-018
30640000222800000000	434.6	0.9949890478	7.33591925107194E-009	1.4619839074519E-010	6.86292445748456E-018
39410000288300000000	435.2	0.9950129278	7.43709662694646E-009	1.47901921625035E-010	6.9760906372971E-018
50800000374900000000	435.8	0.9950467597	7.56935570242556E-009	1.50207058594837E-010	7.12733493079495E-018
61150000455500000000	436.4	0.9950930266	7.74194574644163E-009	1.52598930626065E-010	7.29394888588805E-018
68510000513800000000	434.9	0.9951800886	7.8848422409832E-009	1.53096936854094E-010	7.46585062411929E-018
74300000560300000000	435.2	0.9952388064	0.000000008	1.53505985505387E-010	7.58929592182658E-018
81820000621300000000	432.9	0.9953119357	8.06909676405163E-009	1.54101847978728E-010	7.72209260280167E-018
90000000688500000000	431.4	0.9953960103	8.1719672453497E-009	1.54599380339092E-010	7.88196840771492E-018
99010000763400000000	429.4	0.9954880459	8.28390052456987E-009	1.55098137537517E-010	8.05990321439319E-018
108900000847100000000	427.7	0.9955900357	8.41291580006414E-009	1.55498443707355E-010	8.26191731131938E-018
119800000940700000000	425	0.9957019829	8.5480170229656E-009	1.56000310667131E-010	8.4890169054697E-018
131800001046000000000	423	0.9958039745	8.71003476427465E-009	1.57000626635031E-010	8.7350348640573E-018
145000001163000000000	421.1	0.9959049707	8.89304438613609E-009	1.58500791094408E-010	9.00404494015173E-018
159500001296000000000	418	0.9960238955	9.0892180586215E-009	1.59803833839555E-010	9.31822355267193E-018
175500001445000000000	415.7	0.9961398363	9.32237280800916E-009	1.61406454753559E-010	9.66638656535256E-018
193000001614000000000	411.9	0.9962710986	9.56872241548685E-009	1.63395259973932E-010	1.00597081722017E-017
212300001805000000000	407.6	0.9964149364	9.84814762522982E-009	1.65402479408307E-010	1.0520157698763E-017
232200002008000000000	402.6	0.9965730824	1.01597255841864E-008	1.67195484023225E-010	1.10397018158876E-017
250100002196000000000	396.5	0.996735872	1.04803771837443E-008	1.68506064452377E-010	1.15804167736411E-017
264900002356000000000	391.4	0.9968750674	1.07797303905347E-008	1.69395763279832E-010	1.2059698377537E-017
278900002510000000000	386.6	0.9969910161	0.000000011	1.70398464536028E-010	1.2499887363265E-017
293900002679000000000	381.9	0.9971029801	1.1250033623538E-008	1.71500512572157E-010	1.29600387343158E-017
310100002866000000000	376.7	0.9972249191	1.15102876247072E-008	1.72504310622241E-010	1.34703366033715E-017
325600003050000000000	370.8	0.9973531127	1.17794462272654E-008	1.73091862643434E-010	1.40193409258286E-017
339000003211000000000	365.1	0.9974690664	0.000000012	1.7359461647681E-010	1.4549548788811E-017
351400003364000000000	359.9	0.9975680656	1.22696072220208E-008	1.74194423641078E-010	1.50295188709839E-017
364300003525000000000	355	0.9976580859	1.24794757062765E-008	1.74792656527014E-010	1.550934841381E-017
378400003705000000000	350	0.9977510975	1.27093770789869E-008	1.75591393789938E-010	1.60392138746617E-017
393000003894000000000	344.5	0.9978488817	0.000000013	1.76208631939301E-010	1.66308146943847E-017
406500004073000000000	338.8	0.9979458923	1.32206079731903E-008	1.76608121638836E-010	1.72307923886588E-017
418800004239000000000	333.4	0.9980319236	1.34604305526003E-008	1.77005661798681E-010	1.78005693786245E-017
430900004406000000000	328.5	0.9981079712	1.36801092537301E-008	1.77501417583121E-010	1.83501465501424E-017
443900004586000000000	323.7	0.9981820188	1.39097494310256E-008	1.78196789979063E-010	1.89296590028264E-017
457600004781000000000	318.6	0.998258059	1.41494055247539E-008	1.78792488185582E-010	1.95591782377516E-017
471200004976000000000	313.3	0.9983359257	1.4410518571013E-008	1.79306452448482E-010	2.02407283745526E-017
483800005161000000000	308	0.998408971	1.46701318159755E-008	1.79701614678309E-010	2.09101878849385E-017
495800005340000000000	303.1	0.9984740248	1.49096121277824E-008	1.8019531223517E-010	2.15594391331313E-017
508000005526000000000	298.5	0.9985349336	1.51405296893115E-008	1.80806325483984E-010	2.22107770409253E-017
521100005728000000000	293.8	0.9985949917	1.5389922813535E-008	1.8149908971128E-010	2.29098850979914E-017
534500005938000000000	288.9	0.9986570421	1.56493268340342E-008	1.82092167187069E-010	2.36689818633603E-017
547400006143000000000	283.4	0.9987199585	1.59103179532259E-008	1.82603649167759E-010	2.446048882061E-017
559200006334000000000	279.1	0.998773017	1.61895626197003E-008	1.83095053469247E-010	2.52193186700951E-017
571400006535000000000	274.9	0.9988219577	1.64403614176717E-008	1.83704038468752E-010	2.59605707057637E-017
584600006756000000000	270.5	0.9988720149	1.66995321342181E-008	1.84494831063667E-010	2.6779249733794E-017
598200006987000000000	265.3	0.9989239572	0.000000017	1.8550444896062E-010	2.76806638664687E-017
611000007209000000000	261.2	0.9989720115	1.72795158749655E-008	1.8599478893192E-010	2.85791992885714E-017
623500007429000000000	257	0.9990162664	1.75802862496044E-008	1.86703039977312E-010	2.94804800135574E-017
636300007657000000000	252.9	0.9990574223	1.78692384511187E-008	1.87592005228308E-010	3.03987044719647E-017
649900007903000000000	248.7	0.9990988828	1.81699796828738E-008	1.88599789113374E-010	3.13799649118646E-017
663600008158000000000	243.9	0.999142545	1.84707865143501E-008	1.89508069543549E-010	3.24513818294889E-017
676300008397000000000	240.2	0.9991804972	1.88296324676049E-008	1.90396283687306E-010	3.34993461319577E-017
689300008646000000000	236.4	0.9992155686	1.91502983779265E-008	1.91402982221156E-010	3.45505383267551E-017
703100008915000000000	232.3	0.9992519165	1.94690631589994E-008	1.92590732636019E-010	3.56882826987513E-017
716900009188000000000	228.6	0.9992859902	1.9839721850274E-008	1.93597285797029E-010	3.68894828153532E-017
730700009469000000000	224.5	0.9993204659	2.02004137004325E-008	1.94803989546745E-010	3.81507813203713E-017
744200009746000000000	220.9	0.9993518107	2.05790076683144E-008	1.95990549222042E-010	3.94180992363923E-017
757800010030000000000	217.3	0.9993813906	0.000000021	1.97296326153003E-010	4.07192417686278E-017
772000010330000000000	213.8	0.9994102726	2.13502194514332E-008	1.98802043416624E-010	4.21004327356129E-017
786600010650000000000	210.2	0.9994389564	2.17708485891436E-008	2.00307807643797E-010	4.35816987374772E-017
801100010970000000000	206.6	0.9994667955	2.22092621592286E-008	2.01793295980744E-010	4.51285007314717E-017
815400011300000000000	203.2	0.999492881	2.2659838601674E-008	2.03398551261275E-010	4.67096673029211E-017
829800011630000000000	199.9	0.9995175684	2.31104062090678E-008	2.05103605083505E-010	4.83408496817974E-017
844700011980000000000	196.8	0.9995407577	2.3590961954737E-008	2.06908436983259E-010	5.00520409425428E-017
860400012360000000000	193.1	0.9995650911	2.4069159406992E-008	2.09092697631991E-010	5.19381861071527E-017
875700012740000000000	190.2	0.9995872806	2.4629686596351E-008	2.11097313864787E-010	5.38793144056595E-017
891200013130000000000	187.2	0.9996078717	2.51801982895291E-008	2.13701682862286E-010	5.58804400484069E-017
908000013560000000000	183.8	0.9996301631	2.57307764073946E-008	2.15606505768919E-010	5.81017531779879E-017
923400013970000000000	180.5	0.9996513906	2.63487187579796E-008	2.17889404833539E-010	6.038706359751E-017
938000014360000000000	177.6	0.9996693832	2.69491746289761E-008	2.20293253089552E-010	6.26080825053875E-017
953700014790000000000	174.9	0.9996862768	2.75296220862869E-008	2.22896940175567E-010	6.49091089582595E-017
971100015280000000000	172.1	0.9997035708	2.81701006188105E-008	2.25900806879279E-010	6.75102411351046E-017
989200015810000000000	169.1	0.9997214651	2.89006205281134E-008	2.29204921281785E-010	7.04315122420425E-017
1007000016320000000000	166.2	0.9997386602	2.97011485523249E-008	2.32508991192442E-010	7.34828416035296E-017
1023000016840000000000	163.4	0.9997542807	3.048860574112E-008	2.35789217243559E-010	7.65564990337865E-017
1041000017370000000000	160.9	0.999768576	3.12790168604629E-008	2.3939247558807E-010	7.97174943771133E-017
1059000017970000000000	158.4	0.9997825717	3.2119440090066E-008	2.43295758839136E-010	8.31685501958528E-017
1078000018600000000000	155.7	0.9997964677	0.000000033	2.47999123809176E-010	8.69896926619362E-017
1098000019290000000000	153.2	0.9998099641	3.40503393439794E-008	2.52902520413873E-010	9.11609085050561E-017
1119000020010000000000	150.6	0.9998232607	3.5150817778503E-008	2.58206007124025E-010	9.56622255673285E-017
1139000020740000000000	148.1	0.9998356578	3.63212953510546E-008	2.63809408414323E-010	1.00403580761175E-016
1160000027580000000000	146.9	0.9998464653	3.27615225065785E-007	2.68512478419302E-010	1.4670681781792E-016
1164000027640000000000	144.8	0.9998549919	1.46393410153344E-008	2.71687770072838E-010	1.05195264673031E-016
1165000027650000000000	144.7	0.9998555918	1.45993515756395E-008	2.726878886765E-010	1.05695305585281E-016
1166000027670000000000	144.9	0.9998550919	1.45993442762916E-008	2.73487716408613E-010	1.05895243757485E-016
1168000027690000000000	144.9	0.9998550919	1.46393424792027E-008	2.74187684958838E-010	1.06195230279462E-016
1169000027720000000000	144.9	0.9998550918	1.46893402328371E-008	2.75287635541189E-010	1.06495216800351E-016
