     200   number of z grid-points
          13          12   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 1.03631E+18 1.05548E+02 3.52456E+03 3.15951E+05 1.11339E+00 7.71117E+01 9.34560E+01 2.84364E+01 1.76956E-03 1.66305E-03 8.90707E-09 1.36842E-25 1.18010E+00 1.70695E-06
 1.11081E+18 1.05534E+02 3.52324E+03 3.15951E+05 1.11429E+00 7.70783E+01 9.34556E+01 2.84364E+01 1.77137E-03 1.66489E-03 8.94673E-09 1.37707E-25 1.18052E+00 1.71049E-06
 1.19067E+18 1.05520E+02 3.52191E+03 3.15951E+05 1.11526E+00 7.70429E+01 9.34551E+01 2.84364E+01 1.77331E-03 1.66689E-03 8.98753E-09 1.38619E-25 1.18099E+00 1.71423E-06
 1.27627E+18 1.05507E+02 3.52059E+03 3.15951E+05 1.11632E+00 7.70052E+01 9.34546E+01 2.84364E+01 1.77540E-03 1.66905E-03 9.02958E-09 1.39583E-25 1.18150E+00 1.71820E-06
 1.36802E+18 1.05505E+02 3.52015E+03 3.15951E+05 1.11757E+00 7.69681E+01 9.34539E+01 2.84364E+01 1.77773E-03 1.67158E-03 9.05539E-09 1.40407E-25 1.18220E+00 1.72189E-06
 1.46637E+18 1.05498E+02 3.51883E+03 3.15951E+05 1.11881E+00 7.69257E+01 9.34532E+01 2.84364E+01 1.78015E-03 1.67409E-03 9.10009E-09 1.41485E-25 1.18282E+00 1.72635E-06
 1.57179E+18 1.05480E+02 3.51663E+03 3.15951E+05 1.12004E+00 7.68778E+01 9.34527E+01 2.84364E+01 1.78268E-03 1.67661E-03 9.16405E-09 1.42825E-25 1.18336E+00 1.73161E-06
 1.68478E+18 1.05464E+02 3.51531E+03 3.15951E+05 1.12148E+00 7.68300E+01 9.34519E+01 2.84364E+01 1.78547E-03 1.67953E-03 9.21200E-09 1.44040E-25 1.18410E+00 1.73664E-06
 1.80590E+18 1.05447E+02 3.51312E+03 3.15951E+05 1.12294E+00 7.67763E+01 9.34513E+01 2.84364E+01 1.78840E-03 1.68248E-03 9.27967E-09 1.45534E-25 1.18477E+00 1.74252E-06
 1.93573E+18 1.05424E+02 3.51092E+03 3.15951E+05 1.12451E+00 7.67194E+01 9.34505E+01 2.84364E+01 1.79156E-03 1.68568E-03 9.34948E-09 1.47115E-25 1.18550E+00 1.74874E-06
 2.07490E+18 1.05402E+02 3.50873E+03 3.15951E+05 1.12623E+00 7.66591E+01 9.34497E+01 2.84364E+01 1.79496E-03 1.68914E-03 9.42155E-09 1.48791E-25 1.18632E+00 1.75535E-06
 2.22406E+18 1.05380E+02 3.50653E+03 3.15951E+05 1.12808E+00 7.65952E+01 9.34488E+01 2.84364E+01 1.79861E-03 1.69288E-03 9.49608E-09 1.50570E-25 1.18722E+00 1.76235E-06
 2.38395E+18 1.05371E+02 3.50434E+03 3.15951E+05 1.13010E+00 7.65275E+01 9.34478E+01 2.84364E+01 1.80254E-03 1.69691E-03 9.57321E-09 1.52462E-25 1.18821E+00 1.76978E-06
 2.55534E+18 1.05356E+02 3.50303E+03 3.15951E+05 1.13239E+00 7.64584E+01 9.34465E+01 2.84363E+01 1.80684E-03 1.70148E-03 9.63446E-09 1.54259E-25 1.18943E+00 1.77713E-06
 2.73905E+18 1.05327E+02 3.49996E+03 3.15952E+05 1.13463E+00 7.63794E+01 9.34454E+01 2.84363E+01 1.81131E-03 1.70599E-03 9.73615E-09 1.56623E-25 1.19047E+00 1.78608E-06
 2.93596E+18 1.05299E+02 3.49690E+03 3.15952E+05 1.13707E+00 7.62958E+01 9.34443E+01 2.84363E+01 1.81612E-03 1.71086E-03 9.84145E-09 1.59140E-25 1.19162E+00 1.79557E-06
 3.14703E+18 1.05267E+02 3.49384E+03 3.15952E+05 1.13971E+00 7.62072E+01 9.34430E+01 2.84363E+01 1.82130E-03 1.71614E-03 9.95065E-09 1.61825E-25 1.19289E+00 1.80566E-06
 3.37327E+18 1.05236E+02 3.48991E+03 3.15952E+05 1.14246E+00 7.61107E+01 9.34417E+01 2.84363E+01 1.82680E-03 1.72163E-03 1.00836E-08 1.64927E-25 1.19414E+00 1.81696E-06
 3.61578E+18 1.05201E+02 3.48686E+03 3.15952E+05 1.14556E+00 7.60114E+01 9.34402E+01 2.84363E+01 1.83280E-03 1.72779E-03 1.02017E-08 1.68001E-25 1.19566E+00 1.82837E-06
 3.87573E+18 1.05165E+02 3.48293E+03 3.15952E+05 1.14881E+00 7.59035E+01 9.34386E+01 2.84363E+01 1.83917E-03 1.73424E-03 1.03447E-08 1.71539E-25 1.19718E+00 1.84112E-06
