# J	 flux
       1   8.5511574e-07
       2   4.7878774e-06
       3   1.0966220e-05
       4   1.8947767e-05
       5   2.4154129e-05
       6   1.3463256e-05
       7   1.4004841e-06
       8   5.7524312e-08
       9   1.6386274e-09
      10   3.4635515e-11
      11   5.2571577e-13
      12   5.4000857e-15
      13   7.3201550e-17
      14   3.1832305e-18
      15   2.1724354e-19
      16   1.3998535e-20
      17   9.4921000e-22
      18   5.6209234e-23
      19   2.8824512e-24
      20   1.2925875e-25
      21   2.4257822e-27
      22   8.3837074e-29
      23   2.6426264e-30
      24   8.0404000e-32
      25   2.3074463e-33
      26   6.0377967e-35
      27   1.4547827e-36
      28   3.1194034e-38
      29   6.2172274e-40
      30   1.0653740e-41
      31   1.6649709e-43
      32   2.3798211e-45
      33   2.9993859e-47
      34   3.4000046e-49
      35   3.4804367e-51
      36   3.1943705e-53
      37   2.6561485e-55
      38   1.9812342e-57
