      heat_1      heat_2      heat_3      heat_4      heat_5      heat_6      heat_7      heat_8      heat_9     heat_10     heat_11     heat_12     heat_13      cool_1      cool_2      cool_3      cool_4      cool_5      cool_6      cool_7      cool_8      cool_9     cool_10     cool_11     cool_12
 2.14013E-17 1.40889E-18 1.92773E-18 1.06689E-18 0.00000E+00 4.11821E-20 3.47551E-22 1.81078E-19 4.65138E-29 4.34730E-17 1.06287E-25 6.85161E-19 9.20909E-28 2.82630E-19 2.00767E-17 3.72827E-17 9.69140E-26 2.07525E-19 7.43706E-19 1.18012E-23 8.93431E-23 4.31004E-18 6.85868E-18 1.11996E-26 1.83301E-24
 2.13986E-17 1.41030E-18 1.92768E-18 1.06710E-18 0.00000E+00 4.11860E-20 3.47551E-22 1.72349E-19 4.59352E-29 4.34706E-17 1.03245E-25 6.85320E-19 8.90127E-28 2.82145E-19 2.00736E-17 3.72750E-17 9.69701E-26 2.07571E-19 7.43969E-19 1.18044E-23 8.92645E-23 4.31242E-18 6.85726E-18 1.11773E-26 1.82874E-24
 2.13958E-17 1.41172E-18 1.92763E-18 1.06730E-18 0.00000E+00 4.11903E-20 3.47551E-22 1.67831E-19 4.59083E-29 4.34680E-17 1.02708E-25 6.85478E-19 8.86048E-28 2.82044E-19 2.00704E-17 3.72708E-17 9.70296E-26 2.07618E-19 7.44242E-19 1.18115E-23 8.92657E-23 4.31361E-18 6.85578E-18 1.11804E-26 1.82871E-24
 2.13927E-17 1.41314E-18 1.92758E-18 1.06751E-18 0.00000E+00 4.11950E-20 3.47551E-22 1.59540E-19 4.55518E-29 4.34650E-17 1.00484E-25 6.85642E-19 8.64810E-28 2.81679E-19 2.00672E-17 3.72634E-17 9.70951E-26 2.07669E-19 7.44529E-19 1.18168E-23 8.92138E-23 4.31583E-18 6.85424E-18 1.11681E-26 1.82611E-24
 2.13906E-17 1.41734E-18 1.92734E-18 1.06810E-18 0.00000E+00 4.11984E-20 3.47551E-22 1.50767E-19 4.51383E-29 4.34662E-17 9.80327E-26 6.86058E-19 8.40624E-28 2.81275E-19 2.00576E-17 3.72553E-17 9.71365E-26 2.07744E-19 7.44864E-19 1.18250E-23 8.91374E-23 4.31763E-18 6.85149E-18 1.11511E-26 1.82291E-24
 2.13870E-17 1.41878E-18 1.92730E-18 1.06831E-18 0.00000E+00 4.12038E-20 3.47551E-22 1.42503E-19 4.47118E-29 4.34624E-17 9.55243E-26 6.86226E-19 8.15890E-28 2.80870E-19 2.00545E-17 3.72479E-17 9.72137E-26 2.07800E-19 7.45177E-19 1.18309E-23 8.90847E-23 4.32005E-18 6.84981E-18 1.11369E-26 1.81979E-24
 2.13817E-17 1.41744E-18 1.92746E-18 1.06810E-18 0.00000E+00 4.12115E-20 3.47551E-22 1.68037E-19 4.48467E-29 4.34536E-17 9.82129E-26 6.86111E-19 8.33426E-28 2.81326E-19 2.00576E-17 3.72678E-17 9.73256E-26 2.07832E-19 7.45452E-19 1.18402E-23 8.92931E-23 4.31738E-18 6.84919E-18 1.11655E-26 1.82227E-24
 2.13775E-17 1.41888E-18 1.92743E-18 1.06828E-18 0.00000E+00 4.12179E-20 3.47551E-22 1.85535E-19 4.69565E-29 4.34489E-17 1.08071E-25 6.86264E-19 9.37304E-28 2.82821E-19 2.00544E-17 3.72822E-17 9.74100E-26 2.07892E-19 7.45780E-19 1.18644E-23 8.96441E-23 4.31315E-18 6.84734E-18 1.12726E-26 1.83913E-24
 2.13729E-17 1.42032E-18 1.92740E-18 1.06849E-18 0.00000E+00 4.12248E-20 3.47551E-22 1.78769E-19 4.67102E-29 4.34438E-17 1.06261E-25 6.86438E-19 9.20172E-28 2.82517E-19 2.00513E-17 3.72759E-17 9.75072E-26 2.07958E-19 7.46133E-19 1.18731E-23 8.96234E-23 4.31539E-18 6.84540E-18 1.12678E-26 1.83746E-24
 2.13693E-17 1.42456E-18 1.92719E-18 1.06908E-18 0.00000E+00 4.12306E-20 3.47551E-22 1.72466E-19 4.64159E-29 4.34426E-17 1.04541E-25 6.86866E-19 9.02860E-28 2.82226E-19 2.00417E-17 3.72696E-17 9.75826E-26 2.08050E-19 7.46535E-19 1.18854E-23 8.95910E-23 4.31702E-18 6.84223E-18 1.12611E-26 1.83550E-24
