# J	 flux
       1   6.8432380e-07
       2   3.9298891e-06
       3   9.2153521e-06
       4   1.5918955e-05
       5   1.8184083e-05
       6   8.1749205e-06
       7   5.4690975e-07
       8   1.9050059e-08
       9   6.6549794e-10
      10   1.5692652e-10
      11   1.4020255e-10
      12   1.3398098e-10
      13   1.2889442e-10
      14   1.2482378e-10
      15   1.2169197e-10
      16   1.1930283e-10
      17   1.1766336e-10
      18   1.1626211e-10
      19   1.1570861e-10
      20   1.1507104e-10
      21   1.1058703e-10
      22   1.1073416e-10
      23   1.1076219e-10
      24   1.1055200e-10
      25   1.1011060e-10
      26   1.0915775e-10
      27   1.0744121e-10
      28   1.0477182e-10
      29   1.0126868e-10
      30   9.6903775e-11
      31   9.2062440e-11
      32   8.6786716e-11
      33   8.0698264e-11
      34   7.3811096e-11
      35   6.5854772e-11
      36   5.7115145e-11
      37   4.7583110e-11
      38   3.7222932e-11
