# J	 flux
       1   8.8084028e-07
       2   5.5359570e-06
       3   1.3171737e-05
       4   1.9059459e-05
       5   1.6229301e-05
       6   7.5522881e-06
       7   1.7969889e-06
       8   9.6472774e-07
       9   5.0831230e-07
      10   2.2246216e-07
      11   8.1382699e-08
      12   2.4764158e-08
      13   6.3691190e-09
      14   1.3818141e-09
      15   2.5528768e-10
      16   4.0183806e-11
      17   5.3863306e-12
      18   6.1790649e-13
      19   6.0617367e-14
      20   5.1009199e-15
      21   3.6758438e-16
      22   2.2751562e-17
      23   1.2052066e-18
      24   5.4847633e-20
      25   2.1541807e-21
      26   7.2389735e-23
      27   2.0931876e-24
      28   5.2237410e-26
      29   1.1195834e-27
      30   2.0687333e-29
      31   3.2974934e-31
      32   4.5373491e-33
