#  J   Flux (erg s**-1 cm**-2)
   1   2.9902e-07
   2   2.4039e-06
   3   6.7858e-06
   4   1.1982e-05
   5   1.4728e-05
   6   1.0600e-05
   7   3.6870e-06
   8   7.4707e-07
   9   1.2434e-07
  10   3.3213e-08
  11   2.1407e-08
  12   1.9220e-08
  13   1.8246e-08
  14   1.7354e-08
  15   1.6280e-08
  16   1.4985e-08
  17   1.3484e-08
  18   1.1844e-08
  19   1.0147e-08
  20   8.4760e-09
  21   6.8927e-09
  22   5.4569e-09
  23   4.2104e-09
  24   3.1648e-09
  25   2.3147e-09
  26   1.6456e-09
  27   1.1385e-09
  28   7.6592e-10
  29   5.0240e-10
  30   3.2076e-10
  31   1.9930e-10
  32   1.2070e-10
  33   7.1000e-11
  34   4.0834e-11
  35   2.2871e-11
  36   1.2497e-11
  37   6.6539e-12
  38   3.4520e-12
  39   1.7480e-12
  40   8.6834e-13
  41   4.1419e-13
  42   1.9735e-13
  43   9.2300e-14
  44   4.2412e-14
  45   1.9126e-14
  46   8.4823e-15
  47   3.7134e-15
  48   1.6173e-15
