#  J   Flux (erg s**-1 cm**-2)
   1   3.2402e-07
   2   2.8928e-06
   3   8.8090e-06
   4   1.6468e-05
   5   2.1281e-05
   6   1.7461e-05
   7   8.5514e-06
   8   2.9204e-06
   9   8.1996e-07
  10   2.0716e-07
  11   5.0209e-08
  12   1.3264e-08
  13   4.3147e-09
  14   1.7348e-09
  15   7.9042e-10
  16   3.8987e-10
  17   1.9327e-10
  18   9.5127e-11
  19   4.6558e-11
  20   2.2211e-11
  21   1.0374e-11
  22   4.7413e-12
  23   2.1237e-12
  24   9.3054e-13
  25   3.9817e-13
  26   1.6594e-13
  27   6.7670e-14
  28   2.7049e-14
  29   1.0663e-14
  30   4.1180e-15
