# NH                 T_gas  H            H2           C            CO
  1.5900e+14     384.6565   4.1263e-01   2.9347e-01   4.4471e-06   6.1999e-05
  1.6498e+14     384.1688   4.1099e-01   2.9429e-01   4.4372e-06   6.2071e-05
  1.7118e+14     383.6642   4.0929e-01   2.9514e-01   4.4271e-06   6.2146e-05
  1.7762e+14     383.1423   4.0753e-01   2.9602e-01   4.4168e-06   6.2224e-05
  1.8430e+14     382.6023   4.0570e-01   2.9694e-01   4.4061e-06   6.2304e-05
  1.9123e+14     382.0437   4.0382e-01   2.9788e-01   4.3952e-06   6.2387e-05
  1.9842e+14     381.4660   4.0187e-01   2.9886e-01   4.3841e-06   6.2473e-05
  2.0588e+14     380.8684   3.9985e-01   2.9987e-01   4.3726e-06   6.2562e-05
  2.1363e+14     380.2504   3.9776e-01   3.0091e-01   4.3609e-06   6.2653e-05
  2.2166e+14     379.6114   3.9559e-01   3.0199e-01   4.3489e-06   6.2748e-05
  2.2999e+14     378.9505   3.9336e-01   3.0311e-01   4.3366e-06   6.2847e-05
  2.3864e+14     378.2671   3.9104e-01   3.0427e-01   4.3240e-06   6.2949e-05
  2.4762e+14     377.5606   3.8865e-01   3.0546e-01   4.3111e-06   6.3054e-05
  2.5693e+14     376.8300   3.8618e-01   3.0670e-01   4.2979e-06   6.3163e-05
  2.6659e+14     376.0748   3.8362e-01   3.0798e-01   4.2844e-06   6.3276e-05
  2.7662e+14     375.2940   3.8098e-01   3.0930e-01   4.2707e-06   6.3392e-05
  2.8702e+14     374.4868   3.7825e-01   3.1066e-01   4.2566e-06   6.3513e-05
  2.9781e+14     373.6524   3.7543e-01   3.1207e-01   4.2422e-06   6.3638e-05
  3.0901e+14     372.7898   3.7252e-01   3.1353e-01   4.2276e-06   6.3767e-05
  3.2063e+14     371.8982   3.6952e-01   3.1503e-01   4.2126e-06   6.3901e-05
  3.3269e+14     370.9766   3.6642e-01   3.1658e-01   4.1974e-06   6.4039e-05
  3.4520e+14     370.0240   3.6322e-01   3.1818e-01   4.1818e-06   6.4183e-05
  3.5818e+14     369.0394   3.5992e-01   3.1983e-01   4.1660e-06   6.4331e-05
  3.7165e+14     368.0217   3.5652e-01   3.2153e-01   4.1498e-06   6.4485e-05
  3.8563e+14     366.9697   3.5301e-01   3.2328e-01   4.1334e-06   6.4645e-05
  4.0013e+14     365.8823   3.4940e-01   3.2509e-01   4.1166e-06   6.4810e-05
  4.1517e+14     364.7582   3.4568e-01   3.2695e-01   4.0996e-06   6.4981e-05
  4.3079e+14     363.5963   3.4185e-01   3.2886e-01   4.0823e-06   6.5158e-05
