# J	 flux
       1   3.2816738e-06
       2   9.7571353e-05
       3   0.00065132525
       4    0.0022936123
       5    0.0056833863
       6     0.011435104
       7     0.020087509
       8     0.032214717
       9     0.048385794
      10     0.069131351
      11     0.095169860
      12      0.12677377
      13      0.16429901
      14      0.20789501
      15      0.25664992
      16      0.31441318
      17      0.37870200
      18      0.44934060
      19      0.52665856
      20      0.60995278
      21      0.69761935
      22      0.78935066
      23      0.88308138
      24      0.97619690
      25       1.0642809
      26       1.1359522
      27       1.1818947
      28       1.1917160
      29       1.1590004
      30       1.0887792
      31      0.99228009
      32      0.87890678
