     NH               Temp.Gaz         Td.01            Td.02            Td.03            Td.04            Td.05            Td.06            Td.07            Td.08            Td.09            Td.10            Td.11            Td.12            Ionisation       Pd.h2            Pd.co            FH2chi           DH2chi           FH2grain         DH2phot          FH2.ElRi         Cho.Ph.Gr        Cho.H2.Gr        Cho.photons      Cho.RC           Cho.ph.sec       Cho.eq.chi       Cho.total        Ref.C.tot        Ref.O.tot        Ref.S.tot        Ref.C+.tot       Ref.CO.tot       Ref.C*O.tot      Ref.H2O.tot      Ref.CS.tot       Ref.total        Cho.casc.H2      Ref.casc.H2      Cho.gas.gr       Ref.gas.gr    
   2.44380940E+16  1.27012165E+003  7.49984949E+001  7.59056070E+001  7.76035676E+001  8.02287030E+001  8.39652646E+001  8.91605458E+001  9.61514127E+001  1.05169257E+002  1.15269103E+002  1.22536280E+002  1.22176651E+002  1.20629884E+002  1.02488099E-004  1.56752037E-005  1.15873516E-005  3.31582046E-008  3.59071372E-008  1.59367376E-020  1.38253924E-005  1.38281407E-005  3.56322860E-017  1.57179654E-017  7.29122077E-018  1.88322198E-022  1.53104760E-033  4.17187009E-019  7.20770109E-017  1.14057191E-024  4.04698777E-017  1.79479449E-023  5.18564849E-019  8.90223408E-025  9.48280169E-027  1.07406805E-031  3.88821803E-039  7.20828772E-017  1.30181634E-017  0.00000000E+000  0.00000000E+000  2.50280463E-017
   3.15494437E+16  1.27014616E+003  7.49977777E+001  7.59048819E+001  7.76028274E+001  8.02279398E+001  8.39644690E+001  8.91597050E+001  9.61505098E+001  1.05168268E+002  1.15267993E+002  1.22535019E+002  1.22175347E+002  1.20628603E+002  1.02488239E-004  1.56740559E-005  1.15863124E-005  3.31602392E-008  3.59092941E-008  1.59381099E-020  1.38252938E-005  1.38280422E-005  3.56323957E-017  1.57179002E-017  7.29120213E-018  1.88322198E-022  1.53127301E-033  4.17187751E-019  7.20779388E-017  1.14066991E-024  4.04699626E-017  1.79494948E-023  5.18565102E-019  8.90381310E-025  9.48446789E-027  1.07449924E-031  3.88913993E-039  7.20838047E-017  1.30190647E-017  0.00000000E+000  0.00000000E+000  2.50288442E-017
   4.07301566E+16  1.27017784E+003  7.49968521E+001  7.59039458E+001  7.76018720E+001  8.02269546E+001  8.39634420E+001  8.91586197E+001  9.61493443E+001  1.05166992E+002  1.15266560E+002  1.22533391E+002  1.22173665E+002  1.20626949E+002  1.02488419E-004  1.56725741E-005  1.15849713E-005  3.31628673E-008  3.59120808E-008  1.59398816E-020  1.38251671E-005  1.38279157E-005  3.56325363E-017  1.57178169E-017  7.29117820E-018  1.88322198E-022  1.53156417E-033  4.17188707E-019  7.20791379E-017  1.14079648E-024  4.04700722E-017  1.79514975E-023  5.18565423E-019  8.90585236E-025  9.48661971E-027  1.07505528E-031  3.89033133E-039  7.20850034E-017  1.30202295E-017  0.00000000E+000  0.00000000E+000  2.50298756E-017
   5.70222193E+16  1.27023409E+003  7.49952097E+001  7.59022849E+001  7.76001768E+001  8.02252068E+001  8.39616198E+001  8.91566941E+001  9.61472765E+001  1.05164728E+002  1.15264018E+002  1.22530502E+002  1.22170681E+002  1.20624014E+002  1.02488739E-004  1.56699452E-005  1.15825923E-005  3.31675321E-008  3.59170276E-008  1.59430254E-020  1.38249428E-005  1.38276917E-005  3.56327850E-017  1.57176697E-017  7.29113581E-018  1.88322198E-022  1.53208103E-033  4.17190399E-019  7.20812667E-017  1.14102111E-024  4.04702667E-017  1.79550524E-023  5.18565989E-019  8.90947202E-025  9.49043915E-027  1.07604205E-031  3.89244685E-039  7.20871314E-017  1.30222974E-017  0.00000000E+000  0.00000000E+000  2.50317068E-017
   8.14603132E+16  1.27031843E+003  7.49927468E+001  7.58997944E+001  7.75976349E+001  8.02225858E+001  8.39588874E+001  8.91538067E+001  9.61441758E+001  1.05161332E+002  1.15260206E+002  1.22526170E+002  1.22166206E+002  1.20619614E+002  1.02489218E-004  1.56660040E-005  1.15790261E-005  3.31745277E-008  3.59244458E-008  1.59477411E-020  1.38246063E-005  1.38273556E-005  3.56331577E-017  1.57174487E-017  7.29107222E-018  1.88322198E-022  1.53285632E-033  4.17192938E-019  7.20844584E-017  1.14135800E-024  4.04705583E-017  1.79603834E-023  5.18566841E-019  8.91490204E-025  9.49616885E-027  1.07752365E-031  3.89562108E-039  7.20903220E-017  1.30253985E-017  0.00000000E+000  0.00000000E+000  2.50344524E-017
   1.15202280E+17  1.27043481E+003  7.49893479E+001  7.58963572E+001  7.75941269E+001  8.02189687E+001  8.39551165E+001  8.91498218E+001  9.61398966E+001  1.05156646E+002  1.15254945E+002  1.22520193E+002  1.22160030E+002  1.20613542E+002  1.02489880E-004  1.56605662E-005  1.15741070E-005  3.31841840E-008  3.59346847E-008  1.59542519E-020  1.38241415E-005  1.38268914E-005  3.56336720E-017  1.57171431E-017  7.29098437E-018  1.88322198E-022  1.53392682E-033  4.17196445E-019  7.20888631E-017  1.14182301E-024  4.04709607E-017  1.79677416E-023  5.18568019E-019  8.92240051E-025  9.50408110E-027  1.07957231E-031  3.90000570E-039  7.20947251E-017  1.30296788E-017  0.00000000E+000  0.00000000E+000  2.50382413E-017
   1.62920626E+17  1.27056836E+003  7.49845442E+001  7.58914995E+001  7.75891689E+001  8.02138565E+001  8.39497871E+001  8.91441900E+001  9.61338487E+001  1.05150023E+002  1.15247510E+002  1.22511745E+002  1.22151304E+002  1.20604961E+002  1.02490798E-004  1.56530377E-005  1.15671564E-005  3.31980150E-008  3.59493436E-008  1.59634591E-020  1.38236066E-005  1.38263573E-005  3.56350502E-017  1.57167910E-017  7.29088433E-018  1.88322198E-022  1.53545163E-033  4.17205433E-019  7.20939229E-017  1.14230484E-024  4.04713950E-017  1.79741455E-023  5.18569366E-019  8.93185066E-025  9.51405761E-027  1.08456933E-031  3.90358788E-039  7.20997829E-017  1.30338037E-017  0.00000000E+000  0.00000000E+000  2.50426216E-017
   2.44380939E+17  1.27079841E+003  7.49763520E+001  7.58832152E+001  7.75807136E+001  8.02051383E+001  8.39406984E+001  8.91345855E+001  9.61235350E+001  1.05138729E+002  1.15234831E+002  1.22497342E+002  1.22136424E+002  1.20590331E+002  1.02492449E-004  1.56401074E-005  1.15553597E-005  3.32172085E-008  3.59684938E-008  1.59791758E-020  1.38208830E-005  1.38236349E-005  3.56373870E-017  1.57141354E-017  7.29035474E-018  1.88322198E-022  1.53765812E-033  4.17215199E-019  7.21026358E-017  1.14344209E-024  4.04721445E-017  1.79918120E-023  5.18571664E-019  8.94968942E-025  9.53290466E-027  1.08931816E-031  3.91446908E-039  7.21084940E-017  1.30433551E-017  0.00000000E+000  0.00000000E+000  2.50501644E-017
   3.15494436E+17  1.27104288E+003  7.49692088E+001  7.58759917E+001  7.75733410E+001  8.01975366E+001  8.39327735E+001  8.91262111E+001  9.61145421E+001  1.05128881E+002  1.15223777E+002  1.22484784E+002  1.22123453E+002  1.20577576E+002  1.02493839E-004  1.56286981E-005  1.15450528E-005  3.32375210E-008  3.59900251E-008  1.59928950E-020  1.38199008E-005  1.38226539E-005  3.56384674E-017  1.57134868E-017  7.29016909E-018  1.88322198E-022  1.53991442E-033  4.17222586E-019  7.21118899E-017  1.14442009E-024  4.04729900E-017  1.80072819E-023  5.18574182E-019  8.96550522E-025  9.54959269E-027  1.09368374E-031  3.92372802E-039  7.21177451E-017  1.30523557E-017  0.00000000E+000  0.00000000E+000  2.50581254E-017
   4.07301565E+17  1.27135855E+003  7.49599987E+001  7.58666780E+001  7.75638351E+001  8.01877352E+001  8.39225556E+001  8.91154135E+001  9.61029473E+001  1.05116184E+002  1.15209526E+002  1.22468597E+002  1.22106733E+002  1.20561135E+002  1.02495631E-004  1.56139968E-005  1.15317817E-005  3.32637386E-008  3.60178173E-008  1.60106050E-020  1.38186368E-005  1.38213915E-005  3.56398512E-017  1.57126541E-017  7.28993021E-018  1.88322198E-022  1.54282908E-033  4.17232075E-019  7.21238363E-017  1.14568247E-024  4.04740794E-017  1.80272567E-023  5.18577381E-019  8.98593982E-025  9.57115368E-027  1.09933316E-031  3.93570812E-039  7.21296888E-017  1.30639804E-017  0.00000000E+000  0.00000000E+000  2.50684059E-017
