     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   3.97577951E+19  1.12499954E+002  5.89075408E+002  2.05461612E+002  1.76615118E-004  1.20313245E-006
   4.32658550E+19  1.13112979E+002  5.61408529E+002  2.19295104E+002  1.79130984E-004  1.23099128E-006
   4.67739152E+19  1.13652479E+002  5.36453110E+002  2.31772857E+002  1.81633646E-004  1.25395334E-006
   5.14513293E+19  1.14273777E+002  5.06616806E+002  2.46691057E+002  1.84955236E-004  1.27917410E-006
   5.61287438E+19  1.14812204E+002  4.79904798E+002  2.60047100E+002  1.88248964E-004  1.29997461E-006
   6.02120490E+19  1.15220854E+002  4.58739670E+002  2.70629693E+002  1.91114062E-004  1.31553445E-006
   6.63370073E+19  1.15729243E+002  4.30338981E+002  2.84830075E+002  1.95428815E-004  1.33584688E-006
   7.24619659E+19  1.16142157E+002  4.05068165E+002  2.97465514E+002  1.99749770E-004  1.35351215E-006
   8.30050169E+19  1.16644959E+002  3.67746557E+002  3.16126360E+002  2.07288685E-004  1.38061416E-006
   9.35480686E+19  1.16952796E+002  3.36213506E+002  3.31892918E+002  2.14942630E-004  1.40528548E-006
   1.02902901E+20  1.17088985E+002  3.12060838E+002  3.43969276E+002  2.21874364E-004  1.42646232E-006
   1.12257735E+20  1.17111545E+002  2.90875137E+002  3.54562146E+002  2.28977497E-004  1.44781051E-006
   1.21612568E+20  1.17051541E+002  2.72086381E+002  3.63956540E+002  2.36246568E-004  1.46961832E-006
   1.30967402E+20  1.16899577E+002  2.55305263E+002  3.72347114E+002  2.43730919E-004  1.49218268E-006
   1.44999653E+20  1.16532828E+002  2.33344176E+002  3.83327675E+002  2.55394376E-004  1.52813701E-006
   1.59031905E+20  1.16048242E+002  2.14266644E+002  3.92866455E+002  2.67550866E-004  1.56612661E-006
   1.73064157E+20  1.15457954E+002  1.97608732E+002  4.01195424E+002  2.80268451E-004  1.60668923E-006
   1.87096409E+20  1.14779322E+002  1.82934212E+002  4.08532694E+002  2.93583015E-004  1.64996621E-006
   2.06470907E+20  1.13732115E+002  1.65220089E+002  4.17389767E+002  3.12973257E-004  1.71388112E-006
   2.25845405E+20  1.12545092E+002  1.50280947E+002  4.24859347E+002  3.33756108E-004  1.78465305E-006
   2.45219904E+20  1.11284915E+002  1.37161057E+002  4.31419300E+002  3.55842436E-004  1.86028817E-006
   2.64594402E+20  1.09952163E+002  1.25679579E+002  4.37160045E+002  3.79383457E-004  1.94173458E-006
   2.91994082E+20  1.07976636E+002  1.11642152E+002  4.44178766E+002  4.15316933E-004  2.06666076E-006
   3.19393761E+20  1.05909321E+002  9.98317586E+001  4.50083968E+002  4.54611178E-004  2.20448767E-006
   3.46793441E+20  1.03773856E+002  8.98634967E+001  4.55068103E+002  4.97575074E-004  2.35620106E-006
   3.74193121E+20  1.01610106E+002  8.11378233E+001  4.59430943E+002  5.44387130E-004  2.52017522E-006
   4.20967302E+20  9.78785752E+001  6.87178894E+001  4.65640913E+002  6.34191648E-004  2.83168089E-006
   4.56047937E+20  9.50725011E+001  6.11675727E+001  4.69416072E+002  7.10636811E-004  3.09439008E-006
   5.08668890E+20  9.09203860E+001  5.18040393E+001  4.74097839E+002  8.41688872E-004  3.53531940E-006
   5.61289842E+20  8.68680125E+001  4.44221029E+001  4.77788806E+002  9.95110286E-004  4.03766448E-006
   6.02122923E+20  8.38504971E+001  3.94246998E+001  4.80287506E+002  1.13099610E-003  4.46990552E-006
   6.63372543E+20  7.95007020E+001  3.34186941E+001  4.83290507E+002  1.36720901E-003  5.19974574E-006
   7.24622163E+20  7.54186466E+001  2.84952201E+001  4.85752241E+002  1.64676885E-003  6.03932341E-006
   7.77337442E+20  7.21225235E+001  2.49776500E+001  4.87511025E+002  1.92702110E-003  6.86917345E-006
   8.56410361E+20  6.75518056E+001  2.06894303E+001  4.89655134E+002  2.42636058E-003  8.35649216E-006
   8.95946821E+20  6.54278799E+001  1.89426289E+001  4.90528535E+002  2.71601468E-003  9.23889817E-006
   9.35483280E+20  6.34098475E+001  1.73904346E+001  4.91304633E+002  3.03507523E-003  1.02401968E-005
   9.82257460E+20  6.11554738E+001  1.57448544E+001  4.92127425E+002  3.45340440E-003  1.16165188E-005
   1.02903164E+21  5.90339040E+001  1.43456827E+001  4.92827013E+002  3.91990164E-003  1.32336964E-005
   1.07580582E+21  5.70403479E+001  1.31283257E+001  4.93435694E+002  4.43825536E-003  1.51481909E-005
