     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   8.14603133E+14  1.27000956E+003  3.15996702E+005  8.81796783E-001  1.40686049E-003  3.91263928E-007
   1.15202280E+15  1.27004136E+003  3.15996702E+005  8.81800291E-001  1.40685087E-003  3.91265126E-007
   1.62920627E+15  1.27004288E+003  3.15996702E+005  8.81804075E-001  1.40685842E-003  3.91269111E-007
   2.44380940E+15  1.27004570E+003  3.15996702E+005  8.81810761E-001  1.40687168E-003  3.91275987E-007
   3.15494437E+15  1.27004815E+003  3.15996702E+005  8.81816592E-001  1.40688325E-003  3.91281988E-007
   4.07301566E+15  1.27005132E+003  3.15996702E+005  8.81824124E-001  1.40689819E-003  3.91289737E-007
   5.70222193E+15  1.27005695E+003  3.15996702E+005  8.81837496E-001  1.40692471E-003  3.91303489E-007
   8.14603133E+15  1.27006539E+003  3.15996702E+005  8.81857550E-001  1.40696448E-003  3.91324116E-007
   1.15202280E+16  1.27007704E+003  3.15996702E+005  8.81885235E-001  1.40701938E-003  3.91352596E-007
   1.62920626E+16  1.27009351E+003  3.15996701E+005  8.81924389E-001  1.40709703E-003  3.91392874E-007
   2.44380940E+16  1.27012165E+003  3.15996701E+005  8.81991240E-001  1.40722961E-003  3.91461639E-007
   3.15494437E+16  1.27014616E+003  3.15996701E+005  8.82049540E-001  1.40734524E-003  3.91521652E-007
   4.07301566E+16  1.27017784E+003  3.15996701E+005  8.82124852E-001  1.40749459E-003  3.91599148E-007
   5.70222193E+16  1.27023409E+003  3.15996701E+005  8.82258531E-001  1.40775966E-003  3.91736691E-007
   8.14603132E+16  1.27031843E+003  3.15996700E+005  8.82459007E-001  1.40815719E-003  3.91943016E-007
   1.15202280E+17  1.27043481E+003  3.15996699E+005  8.82735738E-001  1.40870588E-003  3.92227916E-007
   1.62920626E+17  1.27056836E+003  3.15996698E+005  8.83126126E-001  1.40949663E-003  3.92632511E-007
   2.44380939E+17  1.27079841E+003  3.15996697E+005  8.83682105E-001  1.41061267E-003  3.93278168E-007
   3.15494436E+17  1.27104288E+003  3.15996695E+005  8.84264364E-001  1.41176676E-003  3.93878865E-007
   4.07301565E+17  1.27135855E+003  3.15996693E+005  8.85015986E-001  1.41325614E-003  3.94654689E-007
   5.70222190E+17  1.27191821E+003  3.15996690E+005  8.86349513E-001  1.41589753E-003  3.96032338E-007
   8.14603128E+17  1.27275528E+003  3.15996685E+005  8.88347532E-001  1.41985284E-003  3.98100340E-007
   1.15202279E+18  1.27390585E+003  3.15996678E+005  8.91102301E-001  1.42530175E-003  4.00958758E-007
   1.62920624E+18  1.27541890E+003  3.15996667E+005  8.95009966E-001  1.43303714E-003  4.05017249E-007
   2.44380935E+18  1.27817717E+003  3.15996650E+005  9.01660928E-001  1.44609161E-003  4.11959446E-007
   3.15494429E+18  1.28055992E+003  3.15996635E+005  9.07463828E-001  1.45741560E-003  4.18045517E-007
   4.07301553E+18  1.28362092E+003  3.15996616E+005  9.14947268E-001  1.47195383E-003  4.25934879E-007
   5.70222168E+18  1.28899304E+003  3.15996582E+005  9.28179543E-001  1.49752019E-003  4.40014191E-007
   8.14603082E+18  1.29689360E+003  3.15996531E+005  9.47889390E-001  1.53530194E-003  4.61309815E-007
   1.15202270E+19  1.30751680E+003  3.15996462E+005  9.74836971E-001  1.58641615E-003  4.91056244E-007
   1.62920607E+19  1.32204461E+003  3.15996368E+005  1.01247172E+000  1.65682328E-003  5.33820011E-007
   2.44380898E+19  1.34569085E+003  3.15996212E+005  1.07556314E+000  1.77248583E-003  6.08826226E-007
