#  J   Flux (erg s**-1 cm**-2)
   1   5.9803e-07
   2   4.8079e-06
   3   1.3572e-05
   4   2.3964e-05
   5   2.9456e-05
   6   2.1199e-05
   7   7.3739e-06
   8   1.4941e-06
   9   2.4869e-07
  10   6.6426e-08
  11   4.2814e-08
  12   3.8441e-08
  13   3.6493e-08
  14   3.4708e-08
  15   3.2559e-08
  16   2.9971e-08
  17   2.6967e-08
  18   2.3688e-08
  19   2.0295e-08
  20   1.6952e-08
  21   1.3785e-08
  22   1.0914e-08
  23   8.4207e-09
  24   6.3297e-09
  25   4.6295e-09
  26   3.2911e-09
  27   2.2770e-09
  28   1.5318e-09
  29   1.0048e-09
  30   6.4151e-10
  31   3.9861e-10
  32   2.4140e-10
  33   1.4200e-10
  34   8.1669e-11
  35   4.5742e-11
  36   2.4995e-11
  37   1.3308e-11
  38   6.9040e-12
  39   3.4960e-12
  40   1.7367e-12
  41   8.2838e-13
  42   3.9471e-13
  43   1.8460e-13
  44   8.4823e-14
  45   3.8252e-14
  46   1.6965e-14
  47   7.4267e-15
  48   3.2346e-15
