#  J   Flux (erg s**-1 cm**-2)
   1   4.1004e-07
   2   2.4668e-06
   3   5.8182e-06
   4   8.7512e-06
   5   8.1531e-06
   6   3.5073e-06
   7   6.3598e-07
   8   7.2093e-08
   9   6.8223e-09
  10   5.3520e-10
  11   3.1466e-11
  12   1.6902e-12
  13   7.5536e-14
  14   5.6674e-15
  15   9.0805e-16
