# J	flux 
           1  7.4317990E-07
           2  7.0846822E-06
           3  2.3131928E-05
           4  4.8171310E-05
           5  7.5970689E-05
           6  9.5010444E-05
           7  9.2329181E-05
           8  6.2676430E-05
           9  2.7032589E-05
          10  8.0653908E-06
          11  1.8795465E-06
          12  3.7247224E-07
          13  6.3241394E-08
          14  7.6295672E-09
