# J	flux 
           1  5.8617223E-07
           2  3.7078012E-06
           3  8.7887111E-06
           4  1.3029368E-05
           5  1.3185203E-05
           6  7.5811927E-06
           7  1.8258473E-06
           8  2.4585424E-07
           9  2.8572400E-08
          10  3.5890553E-09
          11  5.7278343E-10
          12  1.1880176E-10
          13  2.9873333E-11
          14  8.8626962E-12
          15  3.6467591E-12
          16  2.9538462E-12
          17  2.9129923E-12
          18  3.0445661E-12
          19  3.2083583E-12
          20  3.3765237E-12
          21  3.5454974E-12
          22  3.7145881E-12
          23  3.8836846E-12
          24  4.0527577E-12
          25  4.2218195E-12
          26  4.3908223E-12
          27  4.5598334E-12
          28  4.7288454E-12
          29  4.8978408E-12
          30  5.0668176E-12
          31  5.2357957E-12
          32  5.4047730E-12
          33  5.5737580E-12
          34  5.7427422E-12
          35  5.9117329E-12
          36  6.0807405E-12
          37  6.2497724E-12
