# J	flux 
           1  5.3555311E-07
           2  4.5902625E-06
           3  1.3788816E-05
           4  2.6050819E-05
           5  3.5551606E-05
           6  3.4742672E-05
           7  2.1658409E-05
           8  7.8035137E-06
           9  1.8705393E-06
          10  3.3687061E-07
          11  4.6698585E-08
          12  3.4547292E-09
