# NH	T	H	H2	C	CO 
  5.229E+20  2.340E+01  2.294E-05  5.000E-01  9.668E-07  9.902E-05
  5.402E+20  2.329E+01  2.193E-05  5.000E-01  9.563E-07  9.903E-05
  5.575E+20  2.318E+01  2.099E-05  5.000E-01  9.459E-07  9.905E-05
  5.748E+20  2.307E+01  2.011E-05  5.000E-01  9.355E-07  9.906E-05
  5.921E+20  2.297E+01  1.929E-05  5.000E-01  9.252E-07  9.907E-05
  6.093E+20  2.284E+01  1.851E-05  5.000E-01  9.149E-07  9.908E-05
  6.266E+20  2.273E+01  1.778E-05  5.000E-01  9.046E-07  9.909E-05
  6.439E+20  2.262E+01  1.710E-05  5.000E-01  8.942E-07  9.910E-05
  6.612E+20  2.252E+01  1.646E-05  5.000E-01  8.838E-07  9.911E-05
  6.785E+20  2.241E+01  1.585E-05  5.000E-01  8.733E-07  9.912E-05
  6.958E+20  2.229E+01  1.528E-05  5.000E-01  8.628E-07  9.913E-05
  7.131E+20  2.220E+01  1.474E-05  5.000E-01  8.523E-07  9.914E-05
  7.304E+20  2.208E+01  1.423E-05  5.000E-01  8.416E-07  9.915E-05
  7.477E+20  2.197E+01  1.374E-05  5.000E-01  8.310E-07  9.916E-05
  7.650E+20  2.187E+01  1.329E-05  5.000E-01  8.203E-07  9.917E-05
  7.822E+20  2.177E+01  1.285E-05  5.000E-01  8.096E-07  9.919E-05
  7.995E+20  2.166E+01  1.244E-05  5.000E-01  7.990E-07  9.920E-05
  8.168E+20  2.156E+01  1.205E-05  5.000E-01  7.884E-07  9.921E-05
  8.341E+20  2.144E+01  1.168E-05  5.000E-01  7.779E-07  9.922E-05
  8.514E+20  2.134E+01  1.132E-05  5.000E-01  7.676E-07  9.923E-05
  8.687E+20  2.124E+01  1.098E-05  5.000E-01  7.574E-07  9.924E-05
  8.860E+20  2.116E+01  1.066E-05  5.000E-01  7.474E-07  9.925E-05
  9.033E+20  2.106E+01  1.034E-05  5.000E-01  7.377E-07  9.926E-05
  9.206E+20  2.096E+01  1.004E-05  5.000E-01  7.283E-07  9.927E-05
  9.379E+20  2.086E+01  9.754E-06  5.000E-01  7.193E-07  9.928E-05
  9.551E+20  2.076E+01  9.475E-06  5.000E-01  7.107E-07  9.929E-05
  9.724E+20  2.065E+01  9.205E-06  5.000E-01  7.024E-07  9.929E-05
  9.897E+20  2.056E+01  8.943E-06  5.000E-01  6.947E-07  9.930E-05
  1.007E+21  2.047E+01  8.690E-06  5.000E-01  6.873E-07  9.931E-05
  1.024E+21  2.037E+01  8.444E-06  5.000E-01  6.805E-07  9.932E-05
  1.042E+21  2.027E+01  8.205E-06  5.000E-01  6.741E-07  9.932E-05
  1.059E+21  2.019E+01  7.972E-06  5.000E-01  6.683E-07  9.933E-05
  1.076E+21  2.008E+01  7.748E-06  5.000E-01  6.628E-07  9.933E-05
  1.093E+21  1.999E+01  7.528E-06  5.000E-01  6.580E-07  9.934E-05
  1.111E+21  1.991E+01  7.316E-06  5.000E-01  6.535E-07  9.934E-05
  1.128E+21  1.982E+01  7.110E-06  5.000E-01  6.494E-07  9.935E-05
  1.145E+21  1.972E+01  6.911E-06  5.000E-01  6.457E-07  9.935E-05
  1.163E+21  1.963E+01  6.718E-06  5.000E-01  6.424E-07  9.936E-05
  1.180E+21  1.954E+01  6.531E-06  5.000E-01  6.394E-07  9.936E-05
  1.197E+21  1.946E+01  6.351E-06  5.000E-01  6.367E-07  9.936E-05
  1.214E+21  1.937E+01  6.177E-06  5.000E-01  6.342E-07  9.936E-05
  1.232E+21  1.928E+01  6.010E-06  5.000E-01  6.319E-07  9.937E-05
  1.249E+21  1.920E+01  5.849E-06  5.000E-01  6.298E-07  9.937E-05
  1.266E+21  1.911E+01  5.694E-06  5.000E-01  6.279E-07  9.937E-05
  1.284E+21  1.902E+01  5.545E-06  5.000E-01  6.261E-07  9.937E-05
  1.301E+21  1.894E+01  5.402E-06  5.000E-01  6.243E-07  9.937E-05
  1.318E+21  1.885E+01  5.264E-06  5.000E-01  6.227E-07  9.938E-05
  1.336E+21  1.878E+01  5.133E-06  5.000E-01  6.211E-07  9.938E-05
  1.353E+21  1.869E+01  5.006E-06  5.000E-01  6.195E-07  9.938E-05
  1.370E+21  1.860E+01  4.885E-06  5.000E-01  6.180E-07  9.938E-05
  1.387E+21  1.853E+01  4.769E-06  5.000E-01  6.165E-07  9.938E-05
  1.405E+21  1.844E+01  4.658E-06  5.000E-01  6.149E-07  9.938E-05
  1.422E+21  1.837E+01  4.551E-06  5.000E-01  6.133E-07  9.939E-05
  1.439E+21  1.828E+01  4.449E-06  5.000E-01  6.117E-07  9.939E-05
  1.457E+21  1.821E+01  4.352E-06  5.000E-01  6.101E-07  9.939E-05
  1.474E+21  1.813E+01  4.258E-06  5.000E-01  6.084E-07  9.939E-05
  1.491E+21  1.805E+01  4.169E-06  5.000E-01  6.066E-07  9.939E-05
  1.508E+21  1.798E+01  4.083E-06  5.000E-01  6.048E-07  9.939E-05
  1.526E+21  1.790E+01  4.000E-06  5.000E-01  6.030E-07  9.940E-05
  1.543E+21  1.781E+01  3.922E-06  5.000E-01  6.011E-07  9.940E-05
  1.560E+21  1.774E+01  3.846E-06  5.000E-01  5.991E-07  9.940E-05
  1.578E+21  1.767E+01  3.774E-06  5.000E-01  5.970E-07  9.940E-05
  1.595E+21  1.759E+01  3.704E-06  5.000E-01  5.949E-07  9.940E-05
  1.612E+21  1.752E+01  3.637E-06  5.000E-01  5.927E-07  9.941E-05
  1.629E+21  1.745E+01  3.574E-06  5.000E-01  5.904E-07  9.941E-05
  1.647E+21  1.737E+01  3.512E-06  5.000E-01  5.881E-07  9.941E-05
  1.664E+21  1.730E+01  3.454E-06  5.000E-01  5.857E-07  9.941E-05
  1.681E+21  1.723E+01  3.397E-06  5.000E-01  5.832E-07  9.942E-05
  1.699E+21  1.717E+01  3.343E-06  5.000E-01  5.806E-07  9.942E-05
  1.716E+21  1.710E+01  3.291E-06  5.000E-01  5.779E-07  9.942E-05
  1.733E+21  1.703E+01  3.241E-06  5.000E-01  5.752E-07  9.942E-05
  1.750E+21  1.696E+01  3.193E-06  5.000E-01  5.723E-07  9.943E-05
  1.768E+21  1.688E+01  3.147E-06  5.000E-01  5.694E-07  9.943E-05
  1.785E+21  1.682E+01  3.103E-06  5.000E-01  5.665E-07  9.943E-05
  1.802E+21  1.675E+01  3.060E-06  5.000E-01  5.634E-07  9.944E-05
  1.820E+21  1.668E+01  3.019E-06  5.000E-01  5.602E-07  9.944E-05
  1.837E+21  1.662E+01  2.980E-06  5.000E-01  5.570E-07  9.944E-05
  1.854E+21  1.655E+01  2.942E-06  5.000E-01  5.537E-07  9.945E-05
  1.872E+21  1.648E+01  2.906E-06  5.000E-01  5.503E-07  9.945E-05
  1.889E+21  1.641E+01  2.871E-06  5.000E-01  5.468E-07  9.945E-05
  1.906E+21  1.635E+01  2.837E-06  5.000E-01  5.432E-07  9.946E-05
  2.286E+21  1.503E+01  2.349E-06  5.000E-01  5.049E-07  9.949E-05
  2.666E+21  1.395E+01  2.118E-06  5.000E-01  3.494E-07  9.965E-05
  3.046E+21  1.304E+01  2.008E-06  5.000E-01  2.317E-07  9.977E-05
  3.426E+21  1.227E+01  1.953E-06  5.000E-01  1.550E-07  9.984E-05
  3.806E+21  1.165E+01  1.922E-06  5.000E-01  1.056E-07  9.989E-05
  4.186E+21  1.115E+01  1.904E-06  5.000E-01  7.278E-08  9.993E-05
