     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 2.00000E+01 1.36010E+02 1.01772E+05 1.07218E+05 3.18875E+01 7.92816E+01 5.78724E+00 1.64176E+01 9.38925E+00 2.56337E-04 1.29349E-07 4.77126E+00 5.93655E-01
 1.89256E+17 2.00000E+01 1.36027E+02 1.01763E+05 1.07222E+05 3.18808E+01 7.92747E+01 5.78652E+00 1.64132E+01 9.39433E+00 2.56361E-04 1.29425E-07 4.77250E+00 5.93840E-01
 2.25257E+17 2.00000E+01 1.36044E+02 1.01755E+05 1.07226E+05 3.18745E+01 7.92680E+01 5.78585E+00 1.64090E+01 9.39919E+00 2.56380E-04 1.29494E-07 4.77372E+00 5.94019E-01
 2.68108E+17 2.00000E+01 1.36061E+02 1.01748E+05 1.07230E+05 3.18683E+01 7.92614E+01 5.78519E+00 1.64048E+01 9.40405E+00 2.56400E-04 1.29563E-07 4.77494E+00 5.94199E-01
 3.19109E+17 2.00000E+01 1.36044E+02 1.01755E+05 1.07226E+05 3.18743E+01 7.92678E+01 5.78582E+00 1.64089E+01 9.39932E+00 2.56383E-04 1.29498E-07 4.77373E+00 5.94022E-01
 3.79813E+17 2.00000E+01 1.36061E+02 1.01747E+05 1.07230E+05 3.18679E+01 7.92612E+01 5.78515E+00 1.64047E+01 9.40421E+00 2.56403E-04 1.29568E-07 4.77495E+00 5.94203E-01
 4.52064E+17 2.00000E+01 1.36078E+02 1.01739E+05 1.07234E+05 3.18616E+01 7.92545E+01 5.78447E+00 1.64005E+01 9.40912E+00 2.56424E-04 1.29638E-07 4.77618E+00 5.94383E-01
 5.38059E+17 2.00000E+01 1.36095E+02 1.01731E+05 1.07238E+05 3.18552E+01 7.92477E+01 5.78379E+00 1.63962E+01 9.41405E+00 2.56445E-04 1.29710E-07 4.77740E+00 5.94564E-01
 6.40413E+17 2.00000E+01 1.36112E+02 1.01723E+05 1.07242E+05 3.18487E+01 7.92410E+01 5.78310E+00 1.63919E+01 9.41900E+00 2.56467E-04 1.29782E-07 4.77863E+00 5.94746E-01
 7.62238E+17 2.00000E+01 1.36129E+02 1.01715E+05 1.07246E+05 3.18422E+01 7.92342E+01 5.78240E+00 1.63876E+01 9.42398E+00 2.56489E-04 1.29854E-07 4.77986E+00 5.94929E-01
 9.07237E+17 2.00000E+01 1.36146E+02 1.01707E+05 1.07250E+05 3.18357E+01 7.92273E+01 5.78169E+00 1.63833E+01 9.42900E+00 2.56511E-04 1.29928E-07 4.78110E+00 5.95112E-01
 1.07982E+18 2.00000E+01 1.36163E+02 1.01698E+05 1.07254E+05 3.18290E+01 7.92205E+01 5.78098E+00 1.63790E+01 9.43405E+00 2.56535E-04 1.30003E-07 4.78234E+00 5.95296E-01
 1.28523E+18 2.00000E+01 1.36180E+02 1.01689E+05 1.07259E+05 3.18223E+01 7.92135E+01 5.78025E+00 1.63746E+01 9.43915E+00 2.56559E-04 1.30080E-07 4.78358E+00 5.95481E-01
 1.52972E+18 2.00000E+01 1.36197E+02 1.01680E+05 1.07263E+05 3.18154E+01 7.92065E+01 5.77951E+00 1.63701E+01 9.44430E+00 2.56585E-04 1.30158E-07 4.78483E+00 5.95668E-01
 1.82071E+18 2.00000E+01 1.36248E+02 1.01656E+05 1.07275E+05 3.17962E+01 7.91863E+01 5.77742E+00 1.63573E+01 9.45913E+00 2.56649E-04 1.30374E-07 4.78852E+00 5.96213E-01
 2.16707E+18 2.00000E+01 1.36299E+02 1.01632E+05 1.07288E+05 3.17768E+01 7.91659E+01 5.77532E+00 1.63445E+01 9.47404E+00 2.56714E-04 1.30592E-07 4.79221E+00 5.96760E-01
 2.57930E+18 2.00000E+01 1.36350E+02 1.01607E+05 1.07300E+05 3.17572E+01 7.91454E+01 5.77318E+00 1.63316E+01 9.48904E+00 2.56781E-04 1.30814E-07 4.79592E+00 5.97310E-01
