#J	flux
1	0.036182
2	0.78884
3	4.0382
4	11.956
5	26.205
6	48.476
7	79.042
8	116.89
9	159.79
10	203.89
11	246.67
12	282.04
13	308.3
14	318.18
15	308.76
16	280.14
17	234.3
18	177.45
19	120.81
20	73.693
21	41.279
22	21.955
23	11.31
24	5.6721
25	2.7606
26	1.3014
27	0.59691
28	0.26643
29	0.11657
30	0.04986
31	0.020589
32	0.0083035
33	0.0032499
34	0.0012473
35	0.00046646
36	0.00017058
37	0.000060379
38	0.000020466
39	6.5042E-006
40	1.6537E-006
 
