#J	flux
1	0.00079532
2	0.013489
3	0.049042
4	0.088026
5	0.12794
6	0.15716
7	0.16822
8	0.15875
9	0.13762
10	0.11419
11	0.09377
12	0.075855
13	0.060785
14	0.047556
15	0.036679
16	0.028037
17	0.021156
18	0.015745
19	0.011539
20	0.0083822
21	0.0059645
22	0.0041889
23	0.0028994
24	0.0019788
25	0.0013315
26	0.00088377
27	0.00057862
28	0.00037384
29	0.00023839
30	0.00015001
31	0.000093217
32	0.000057175
33	0.000034607
34	0.00002065
35	0.000012124
36	6.9721E-006
37	3.8936E-006
38	2.0696E-006
39	9.9686E-007
40	3.6844E-007
 
