#J	flux
1	18.178
2	173.89
3	598.43
4	1193.9
5	1863
6	2570.5
7	3141.1
8	3139.7
9	2195.9
10	883.2
11	195.09
12	29.473
13	3.6124
14	0.36234
15	0.029397
16	0.0020538
17	0.0001205
18	0.000006056
19	2.6737E-007
20	1.008E-008
21	3.1936E-010
22	8.6438E-012
23	2.0108E-013
24	4.0333E-015
25	6.9351E-017
26	1.0275E-018
27	1.3242E-020
28	1.501E-022
29	5.6958E-024
30	4.1135E-024
31	3.8646E-024
32	3.5996E-024
33	3.3072E-024
34	2.9874E-024
35	2.6408E-024
36	2.2673E-024
37	1.8672E-024
38	1.4405E-024
39	9.8713E-025
40	5.0707E-025
 
