# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	1.4454e-7
2	1.263e-6
3	3.9317e-6
4	7.862e-6
5	0.000011922
6	0.000014454
7	0.000012763
8	6.1477e-6
9	1.5739e-6
10	2.764e-7
11	4.0901e-8
12	6.6699e-9
13	2.1979e-9
14	1.5911e-9
15	1.416e-9
16	1.2525e-9
17	1.0658e-9
18	8.7393e-10
19	6.9864e-10
20	5.4239e-10
21	4.1045e-10
22	3.0412e-10
23	2.2086e-10
24	1.5778e-10
25	1.1065e-10
26	7.645e-11
27	5.218e-11
28	3.5361e-11
29	2.3994e-11
30	1.6202e-11
31	1.0985e-11
32	7.6246e-12
33	5.5195e-12
34	4.1877e-12
35	3.3115e-12
36	2.6877e-12
37	2.2058e-12
38	1.8137e-12
39	1.4875e-12
40	1.2134e-12
41	9.8343e-13
42	7.9242e-13
43	6.3374e-13
44	5.0296e-13
45	3.9614e-13
46	3.0944e-13
47	2.3999e-13
48	1.8475e-13
49	1.4117e-13
