# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	5.4913e-9
2	1.9238e-8
3	1.1985e-8
4	2.5701e-9
5	4.5788e-10
6	8.1292e-11
7	1.7321e-11
8	4.7661e-12
9	1.5376e-12
10	5.8103e-13
11	2.5169e-13
12	1.2394e-13
13	7.2311e-14
14	4.6592e-14
15	3.0688e-14
16	2.032e-14
17	1.3177e-14
18	8.3628e-15
19	5.1829e-15
20	3.1348e-15
21	1.8506e-15
22	1.0694e-15
23	6.0493e-16
24	3.3485e-16
25	1.8165e-16
26	9.6749e-17
27	5.0266e-17
28	2.2978e-17
29	1.0002e-17
30	4.05e-18
31	1.0582e-18
32	2.6928e-19
33	5.8655e-20
34	9.1439e-21
35	3.0829e-21
36	1.0479e-21
37	1.6566e-22
38	8.8258e-23
39	0.
40	0.
41	0.
42	0.
43	0.
44	0.
45	0.
46	0.
47	0.
48	0.
49	0.
