# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	2.7294e-7
2	2.6208e-6
3	9.3179e-6
4	0.00002224
5	0.000042447
6	0.000069368
7	0.00010024
8	0.00013099
9	0.00015527
10	0.00017444
11	0.00019882
12	0.00022009
13	0.00022662
14	0.00021651
15	0.00019513
16	0.00016742
17	0.00013679
18	0.00010734
19	0.000082111
20	0.000060992
21	0.000044195
22	0.000031405
23	0.000021927
24	0.000015084
25	0.000010226
26	6.9169e-6
27	4.7676e-6
28	3.4145e-6
29	2.5693e-6
30	2.0216e-6
31	1.6519e-6
32	1.3794e-6
33	1.162e-6
34	9.7889e-7
35	8.2106e-7
36	6.8421e-7
37	5.6599e-7
38	4.6438e-7
39	3.7796e-7
40	3.0505e-7
41	2.4418e-7
42	1.9401e-7
43	1.5293e-7
44	1.196e-7
45	9.2849e-8
46	7.1554e-8
47	5.4849e-8
48	4.1837e-8
49	3.1768e-8
