# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	2945.708524726585	0.9999766128039094	2.706885335829998e-6	3.686992519189559e-10	2.6836730470621567e-12	0.
3.913258100782879e-9	2945.357947835936	0.9999766303996254	2.707326886624833e-6	3.6927170929463174e-10	2.735917384156799e-12	1.7956970309497127e-10
1.1147942131649235e-8	2945.476449471896	0.9999766283098972	2.707541949712986e-6	3.6927021519794234e-10	2.7441137246832482e-12	5.38709115518233e-10
2.49468223407289e-8	2945.4765556278285	0.99997662830693	2.707542408685226e-6	3.6927022215327274e-10	2.750738753507572e-12	1.2569879402643263e-9
5.140461943447872e-8	2945.476761113563	0.9999766283011952	2.7075432973977647e-6	3.692702359911487e-10	2.7572140237832828e-12	2.6935455897520717e-9
1.0219517576056448e-7	2945.47715380916	0.9999766282901947	2.707545010345103e-6	3.692702635516242e-10	2.7638677668315373e-12	5.566660888710585e-9
1.996644885031998e-7	2945.477942222548	0.9999766282684248	2.7075483809251472e-6	3.692703179157734e-10	2.770855676098609e-12	1.1312891486559905e-8
3.86510609408588e-7	2945.479434156751	0.9999766282271173	2.7075548227942623e-6	3.692704256193375e-10	2.7782683524024454e-12	2.2805352682002545e-8
7.441456584853999e-7	2945.4823214585413	0.999976628146971	2.7075673408872685e-6	3.6927064057733713e-10	2.7861696300859097e-12	4.5790275071894615e-8
1.427427881026325e-6	2945.48793783932	0.9999766279920642	2.7075915533993967e-6	3.6927106536015454e-10	2.7946136607234584e-12	9.176011984783082e-8
2.7301434480990774e-6	2945.4987430374194	0.9999766276942104	2.707638226469613e-6	3.692719087685316e-10	2.8036560743157326e-12	1.8369980938489472e-7
5.208007475008887e-6	2945.519532531722	0.9999766271226114	2.7077279840322404e-6	3.6927358018219297e-10	2.813365439218525e-12	3.6757918840211564e-7
9.908746617936056e-6	2945.5594706532183	0.9999766260277221	2.7079002281125782e-6	3.692768929934849e-10	2.8238394467773418e-12	7.353379462181243e-7
0.00001880044475781588	2945.635826809918	0.9999766239409812	2.7082292214935743e-6	3.6928345565199836e-10	2.8352321645104224e-12	1.4708554610156374e-6
0.000035564662216378196	2945.7812290298693	0.9999766199833353	2.7088545690057745e-6	3.6929644631187665e-10	2.847805017097609e-12	2.941890487435907e-6
0.00006705575902184715	2946.056402024617	0.9999766125287172	2.7100355744766254e-6	3.6932214429951736e-10	2.8620182561510097e-12	5.883960528272792e-6
0.0001259664866896949	2946.5734956308693	0.9999765986024391	2.7122491836501417e-6	3.6937293089581113e-10	2.8786989875659152e-12	0.000011768100564893518
