# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	2553.4225548413456	0.9998583461934605	1.0381701630481007e-8	2.1379743323211887e-12	1.2685812145252758e-18	0.
1.564173154444298e-11	2596.15454548461	0.9998571827522302	1.0154921398466312e-8	2.1263611924379453e-12	1.3130833146635642e-18	5.677784305594675e-13
4.5053883732165925e-11	2596.199466810064	0.9998571815339878	1.0154728597954986e-8	2.126349052789953e-12	1.3143339474057665e-18	1.7033351857348607e-12
1.0175818082958409e-10	2596.2049153700973	0.9998571813863982	1.0154700177489325e-8	2.1263475765209254e-12	1.3153482123451111e-18	3.974448696615963e-12
2.11562351723269e-10	2596.2117637285423	0.9998571812008785	1.0154664671102461e-8	2.1263457212297492e-12	1.3163312646586898e-18	8.516675717575915e-12
4.244515916188576e-10	2596.212923555921	0.9998571811694577	1.0154658705515866e-8	2.1263454075879074e-12	1.3173306060981175e-18	1.7601129760171475e-11
8.372289128768415e-10	2596.212163631328	0.999857181190048	1.015466254322714e-8	2.1263456145692125e-12	1.3183762158910524e-18	3.577003784480115e-11
1.6371957583019312e-9	2596.213384363625	0.9998571811569793	1.0154656175438432e-8	2.1263452860795772e-12	1.3194875245585216e-18	7.210785401475746e-11
3.1863576845784043e-9	2596.2131682052172	0.9998571811628274	1.0154657537554394e-8	2.126345349455838e-12	1.320672305329532e-18	1.4478348635403994e-10
6.18353647903408e-9	2596.2130304090024	0.9998571811665641	1.0154658177429125e-8	2.126345395967323e-12	1.3219412527648638e-18	2.9013475103274164e-10
1.1976000164053855e-8	2596.2128599879384	0.9998571811711715	1.0154659383735941e-8	2.1263454608673865e-12	1.323302612658041e-18	5.808372803911894e-10
2.3157534468538652e-8	2596.2128887807803	0.9998571811703836	1.0154659586372326e-8	2.1263454902814994e-12	1.3247646724308466e-18	1.162242339109325e-9
4.471421183104659e-8	2596.2127250098315	0.9998571811748154	1.0154660811329393e-8	2.12634560882986e-12	1.326335101934091e-18	2.3250524565470095e-9
8.621517945069502e-8	2596.2124989279114	0.9998571811809251	1.015466289571542e-8	2.1263458185620207e-12	1.3280222490178977e-18	4.6506726914293175e-9
1.659927403680402e-7	2596.212020211026	0.9998571811938677	1.0154667084755035e-8	2.126346245134807e-12	1.329834413450068e-18	9.301913161222517e-9
3.190995300640642e-7	2596.211070879933	0.9998571812195498	1.0154674945318421e-8	2.126347095711751e-12	1.3317802469104942e-18	1.8604394100927174e-8
6.124169216894357e-7	2596.2091608422634	0.9998571812712247	1.0154690649943807e-8	2.12634879989924e-12	1.3338686583158486e-18	3.720935598080962e-8
1.1732600245380757e-6	2596.205339740212	0.9998571813746209	1.0154721523191067e-8	2.126352208140636e-12	1.3361088785034613e-18	7.441927974246944e-8
2.243364353167616e-6	2596.1976877599877	0.9998571815817222	1.0154782048684923e-8	2.1263590263187287e-12	1.3385104132391347e-18	1.4883912727338672e-7
4.2804135705158655e-6	2596.1823682886074	0.9998571819963996	1.0154901621407403e-8	2.1263726658016368e-12	1.3410829737149919e-18	2.9767882236566393e-7
8.148207532194511e-6	2596.1529513979694	0.9998571827926883	1.0155130967626757e-8	2.1263988546487753e-12	1.3438369157300597e-18	5.953582126722128e-7
0.00001547123665651304	2596.1124430926598	0.9998571838878623	1.0155487052131068e-8	2.126435165187243e-12	1.346791418576845e-18	1.190716993753913e-6
0.000029292352999785378	2596.0087835431846	0.9998571866937976	1.0156298235000835e-8	2.126527482826023e-12	1.3499415740966511e-18	2.381434557201121e-6
0.00005528531466436261	2595.7916174899265	0.9998571925744408	1.0157938715234949e-8	2.1267205545560603e-12	1.3532949405576114e-18	4.7628696907027076e-6
0.00010397481461697288	2595.3766280015384	0.9998572038126925	1.0161075901656603e-8	2.1270895544630495e-12	1.3568613630547487e-18	9.525739985424574e-6
0.00019476821269596542	2594.5691567449667	0.9998572256843655	1.0167132738499841e-8	2.127807538625881e-12	1.3606276426742846e-18	0.000019051480680842597
0.00036320825891285145	2593.1342105603217	0.9998572645554491	1.0178101323233036e-8	2.1290857668274513e-12	1.3646279334667002e-18	0.000038102962484369964
0.0006738761350002688	2590.4859059074697	0.9998573363237565	1.0198502873996477e-8	2.131449462671114e-12	1.3688258228550214e-18	0.00007620592755758999
0.001243052825672612	2585.5258517774287	0.9998574708564796	1.0236789971363757e-8	2.135890380533798e-12	1.373120803469785e-18	0.0001524118631185022
0.002277936269031729	2576.6513668636226	0.9998577119085157	1.0306543279820728e-8	2.143888163423084e-12	1.377521664418901e-18	0.0003048237545450212
0.004143407150019659	2560.774294280354	0.9998581443296634	1.0434066219782482e-8	2.1583590328600717e-12	1.3818843959901584e-18	0.0006096476101517235
