# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.	315.23835058351995	0.9977786274922293	0.0010965011506469254	4.3213464539404603e-8	3.439737919626397e-11	0.
1.5643443805334424e-11	315.24638419373315	0.997778645816803	0.001096491862207002	4.321502761738667e-8	3.506150648498613e-11	5.678433565630695e-13
4.505883026363052e-11	315.24163461000325	0.9977786341829821	0.0010964977513052891	4.321537802907711e-8	3.516090662738875e-11	1.703530070184592e-12
1.0176936760074433e-10	315.2388289587424	0.9977786249217053	0.0010965024299842234	4.321558132078214e-8	3.524574076883961e-11	3.974903497537941e-12
2.115856004211639e-10	315.2391208910133	0.9977786188542861	0.0010965054746351146	4.321554955793918e-8	3.532881994832467e-11	8.517650352290902e-12
4.244981270649184e-10	315.2394300478055	0.9977786066392941	0.0010965116067587898	4.321550735415642e-8	3.541402007021335e-11	1.7603144062272762e-11
8.373206139603587e-10	315.2395024488754	0.997778582049135	0.0010965239566657881	4.321546549918872e-8	3.5503306603429707e-11	3.5774131483699165e-11
1.6373748607920238e-9	315.2392812807611	0.9977785341517751	0.0010965480155443019	4.3215412542808987e-8	3.5597805411888703e-11	7.211610633262604e-11
3.1867057681957342e-9	315.23898549504264	0.9977784430543348	0.0010965937725437094	4.3215303096428806e-8	3.5698310103221184e-11	1.44800056053619e-10
6.18421095763648e-9	315.2384279914684	0.9977782704642517	0.0010966804620138881	4.321509698280889e-8	3.5805414851690374e-11	2.901679555832356e-10
1.1977304260044534e-8	315.23737255056966	0.9977779460288896	0.001096843420996649	4.3214712296207926e-8	3.591966697406573e-11	5.809037549726475e-10
2.3160051796620997e-8	315.235425382302	0.997777340620186	0.0010971475080132707	4.3213996169573387e-8	3.6041643687512495e-11	1.1623753549863265e-9
4.471906327558868e-8	315.2318770754848	0.997776218006389	0.0010977113771796546	4.321266968558865e-8	3.617204995265897e-11	2.3253185596013417e-9
8.622451492772472e-8	315.2254461856447	0.9977741485140638	0.0010987508428135049	4.321022858562677e-8	3.6311882380481713e-11	4.651204985766614e-9
1.6601067585296152e-7	315.21391405357804	0.9977703562738283	0.0011006555998209137	4.320576371776107e-8	3.6462758554240115e-11	9.302977900218447e-9
3.191339310155131e-7	315.1934649322384	0.9977634468626917	0.0011041260083149887	4.319764996886286e-8	3.662762004448002e-11	1.8606523955502543e-8
6.124827894776627e-7	315.1577749098654	0.9977509212145267	0.0011104171969210227	4.318299843989286e-8	3.681242160706015e-11	3.721361688559393e-8
1.1733859144992188e-6	315.09636806147506	0.9977283051455036	0.0011217761344128742	4.31567179913136e-8	3.702950741874287e-11	7.442780569277255e-8
2.243604520713997e-6	314.9923676877567	0.9976874990157053	0.0011422700849045922	4.310982219285015e-8	3.730567408744126e-11	1.488561938419464e-7
4.280870947253057e-6	314.8191317378237	0.9976132835289568	0.0011795401222982576	4.302611463696641e-8	3.770247945727123e-11	2.9771300771271707e-7
8.149077273381375e-6	314.53743182480923	0.9974750474167087	0.0012489507254016276	4.2875189629523664e-8	3.837574912258027e-11	5.954267701347319e-7
0.000015472889261042533	314.09580277542204	0.9972033232498665	0.0013853539619410533	4.2595642199396127e-8	3.9768430970498785e-11	1.1908547865525838e-6
0.00002929549606411989	313.44893831440663	0.9966043348894622	0.001685904925549992	4.205023699969296e-8	4.3370012640972164e-11	2.3817126876865947e-6
0.00005529132424045853	312.7461966450618	0.9948713970600616	0.0025546701165691126	4.087310687698944e-8	5.613355344853149e-11	4.763436188989772e-6
0.00005844046335920784	312.7103420061095	0.994582483411235	0.0026994291217502194	4.071987647453842e-8	5.840992103853002e-11	5.061152447607944e-6
0.00006468723088086124	312.6654885077355	0.9939332636545379	0.003024655317204157	4.040970594896295e-8	6.356369318583506e-11	5.656585507387994e-6
0.00007699871050002063	312.6584166323299	0.9922740378995228	0.003855533514765063	3.978679802221823e-8	7.664511867455235e-11	6.847453834326091e-6
0.00007852230144552083	312.6616667258853	0.9920275751635483	0.003978922733529335	3.971097175021081e-8	7.855477428012516e-11	6.996312592602668e-6
0.00008156006662412633	312.6684420096722	0.9915035602418156	0.0042412448648768445	3.956146612931036e-8	8.257608178164712e-11	7.294030249359374e-6
0.00008759968624113905	312.6737583080868	0.9903191152643017	0.0048340884583406366	3.9274548969578075e-8	9.145654906824516e-11	7.889466116558288e-6
0.00008835141382139755	312.6614862582703	0.9901720520951879	0.004907689529937884	3.9244372848125305e-8	9.254237587505919e-11	7.96389565195178e-6
0.00008985279333066785	312.63875605382924	0.9898640911124922	0.00506181076924102	3.918347090220462e-8	9.479862585522581e-11	8.112754753989851e-6
