# J	Intensity (line integrated) (erg/s/cm^2/sr)
1	1.836e-7
2	1.5383e-6
3	4.8182e-6
4	0.000010092
5	0.000016791
6	0.000023302
7	0.000026937
8	0.000024797
9	0.00001506
10	5.1294e-6
11	1.1766e-6
12	2.1835e-7
13	3.8179e-8
14	8.3858e-9
15	3.5803e-9
16	2.6246e-9
17	2.2641e-9
18	1.9957e-9
19	1.7418e-9
20	1.4868e-9
21	1.2341e-9
22	9.9741e-10
23	7.8271e-10
24	5.9637e-10
25	4.4073e-10
26	3.1521e-10
27	2.1825e-10
28	1.4612e-10
29	9.5372e-11
30	6.029e-11
31	3.6852e-11
32	2.2001e-11
33	1.2863e-11
34	7.6084e-12
35	4.5495e-12
36	2.7618e-12
37	1.6967e-12
38	1.0482e-12
39	6.4793e-13
40	3.9759e-13
41	2.4115e-13
42	1.4481e-13
43	8.5796e-14
44	5.0117e-14
45	2.885e-14
46	1.6357e-14
47	9.132e-15
48	5.0279e-15
49	2.7209e-15
