#  J   Flux (erg s**-1 cm**-2)
   1   2.3757e-06
   2   1.7555e-05
   3   5.5600e-05
   4   1.2403e-04
   5   2.2701e-04
   6   3.6512e-04
   7   5.3269e-04
   8   7.2068e-04
   9   9.1483e-04
  10   1.0970e-03
  11   1.2522e-03
  12   1.3509e-03
  13   1.3609e-03
  14   1.2460e-03
  15   9.9211e-04
  16   6.4340e-04
  17   3.1755e-04
  18   1.3258e-04
  19   5.4588e-05
  20   2.2374e-05
  21   9.0666e-06
  22   3.6461e-06
  23   1.4527e-06
  24   5.7309e-07
  25   2.2412e-07
  26   8.6582e-08
  27   3.3471e-08
  28   1.2918e-08
  29   5.0473e-09
  30   1.9779e-09
  31   7.7535e-10
  32   3.1014e-10
  33   1.2736e-10
  34   5.4280e-11
  35   2.4486e-11
  36   1.2064e-11
  37   6.6413e-12
  38   4.1042e-12
  39   2.7878e-12
  40   2.0238e-12
  41   1.5388e-12
  42   1.1982e-12
  43   9.5002e-13
  44   7.5901e-13
  45   6.0771e-13
  46   4.8845e-13
  47   3.9201e-13
  48   3.1454e-13
  49   2.5290e-13
  50   2.0351e-13
  51   1.6380e-13
