#  J   Flux (erg s**-1 cm**-2)
   1   9.0352e-08
   2   7.9294e-07
   3   2.3920e-06
   4   4.0935e-06
   5   4.7331e-06
   6   4.4460e-06
   7   3.9000e-06
   8   3.3785e-06
   9   2.8689e-06
  10   2.4102e-06
  11   2.0043e-06
  12   1.6424e-06
  13   1.3302e-06
  14   1.0568e-06
  15   8.2875e-07
  16   6.4340e-07
  17   4.9411e-07
  18   3.7398e-07
  19   2.7904e-07
  20   2.0684e-07
  21   1.5105e-07
  22   1.0933e-07
  23   7.8540e-08
  24   5.5958e-08
  25   3.9534e-08
  26   2.7828e-08
  27   1.9534e-08
  28   1.3678e-08
  29   9.6070e-09
  30   6.7481e-09
  31   4.7671e-09
  32   3.3873e-09
  33   2.4203e-09
  34   1.7467e-09
  35   1.2711e-09
  36   9.3305e-10
  37   6.9052e-10
  38   5.1711e-10
  39   3.9019e-10
  40   2.9644e-10
  41   2.2745e-10
  42   1.7524e-10
  43   1.3622e-10
  44   1.0625e-10
  45   8.3127e-11
  46   6.5345e-11
  47   5.1371e-11
  48   4.0426e-11
  49   3.1925e-11
  50   2.5271e-11
  51   2.0031e-11
  52   1.5915e-11
  53   1.2679e-11
  54   1.0085e-11
  55   8.0299e-12
  56   6.3649e-12
  57   5.0435e-12
  58   4.0124e-12
  59   3.1862e-12
  60   2.5321e-12
  61   2.0094e-12
  62   1.5915e-12
  63   1.2654e-12
  64   1.0034e-12
  65   7.9545e-13
  66   6.2832e-13
  67   4.9329e-13
  68   3.8572e-13
  69   3.0228e-13
  70   2.3549e-13
  71   1.8278e-13
  72   1.4087e-13
  73   1.0757e-13
  74   8.0927e-14
  75   6.0023e-14
  76   4.3517e-14
  77   3.0448e-14
  78   2.0043e-14
  79   1.1743e-14
  80   5.2119e-15
