#  J   Flux (erg s**-1 cm**-2)
   1   2.6283e-06
   2   2.3040e-05
   3   7.7409e-05
   4   1.7788e-04
   5   3.3244e-04
   6   5.4481e-04
   7   8.1493e-04
   8   1.1360e-03
   9   1.4998e-03
  10   1.8856e-03
  11   2.2770e-03
  12   2.6314e-03
  13   2.8865e-03
  14   2.9544e-03
  15   2.7231e-03
  16   2.1042e-03
  17   1.1699e-03
  18   4.5157e-04
  19   1.4432e-04
  20   4.2311e-05
  21   1.1655e-05
  22   3.0423e-06
  23   7.5587e-07
  24   1.7976e-07
  25   4.0552e-08
  26   8.5765e-09
  27   1.7015e-09
  28   3.2415e-10
  29   5.9508e-11
  30   1.0606e-11
  31   1.7649e-12
