! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 4.66843E+21 2.81016E+02 1.98566E-04 4.99901E-01 1.67060E-05 7.68032E-05
 4.80873E+21 2.61257E+02 1.30656E-04 4.99935E-01 1.69895E-05 7.81044E-05
 4.94903E+21 2.42888E+02 8.70875E-05 4.99956E-01 1.64312E-05 8.01393E-05
 5.08934E+21 2.27707E+02 5.88543E-05 4.99971E-01 1.53848E-05 8.23261E-05
 5.22961E+21 2.13476E+02 4.08393E-05 4.99980E-01 1.42972E-05 8.41868E-05
 5.36991E+21 2.00133E+02 2.93957E-05 4.99985E-01 1.33093E-05 8.56832E-05
 5.49006E+21 1.89189E+02 2.28410E-05 4.99989E-01 1.26720E-05 8.66182E-05
 5.67024E+21 1.74408E+02 1.70655E-05 4.99991E-01 1.17516E-05 8.78009E-05
 5.85046E+21 1.60783E+02 1.35057E-05 4.99993E-01 1.14947E-05 8.82200E-05
 6.03064E+21 1.48221E+02 1.13844E-05 4.99994E-01 1.17802E-05 8.80290E-05
 6.21085E+21 1.36642E+02 1.00492E-05 4.99995E-01 1.26406E-05 8.72257E-05
 6.39104E+21 1.26500E+02 9.12612E-06 4.99995E-01 1.40772E-05 8.58255E-05
 6.57125E+21 1.17606E+02 8.42490E-06 4.99996E-01 1.59639E-05 8.39637E-05
 6.75143E+21 1.09796E+02 7.84657E-06 4.99996E-01 1.80129E-05 8.19331E-05
 7.03226E+21 9.95026E+01 7.10789E-06 4.99996E-01 1.99423E-05 8.00233E-05
 7.17266E+21 9.09516E+01 6.88978E-06 4.99997E-01 2.07355E-05 7.92384E-05
 7.31306E+21 8.42013E+01 6.69071E-06 4.99997E-01 2.02593E-05 7.97202E-05
 7.45346E+21 7.89387E+01 6.49165E-06 4.99997E-01 1.92448E-05 8.07391E-05
 7.59386E+21 7.40050E+01 6.32794E-06 4.99997E-01 1.77435E-05 8.22436E-05
 7.73429E+21 6.93797E+01 6.19775E-06 4.99997E-01 1.59308E-05 8.40586E-05
 7.87469E+21 6.53145E+01 6.08831E-06 4.99997E-01 1.39905E-05 8.60006E-05
 8.01509E+21 6.17426E+01 5.99780E-06 4.99997E-01 1.20560E-05 8.79362E-05
 8.29592E+21 5.57130E+01 5.87313E-06 4.99997E-01 8.53322E-06 9.14604E-05
 8.53579E+21 5.16869E+01 5.80719E-06 4.99997E-01 6.13229E-06 9.38619E-05
 8.77567E+21 4.85574E+01 5.76735E-06 4.99997E-01 4.30325E-06 9.56913E-05
 9.25545E+21 4.41000E+01 5.74658E-06 4.99997E-01 2.04195E-06 9.79529E-05
 9.74686E+21 4.13653E+01 5.76176E-06 4.99997E-01 9.40365E-07 9.90544E-05
 1.02383E+22 3.79720E+01 5.91495E-06 4.99997E-01 4.24205E-07 9.95703E-05
 1.04211E+22 3.58954E+01 6.05797E-06 4.99997E-01 3.09997E-07 9.96844E-05
 1.06039E+22 3.36520E+01 6.23783E-06 4.99997E-01 2.24436E-07 9.97699E-05
 1.07868E+22 3.18116E+01 6.40379E-06 4.99997E-01 1.62499E-07 9.98317E-05
 1.09696E+22 3.01341E+01 6.57171E-06 4.99997E-01 1.17353E-07 9.98768E-05
 1.13352E+22 2.73090E+01 6.89422E-06 4.99996E-01 6.10840E-08 9.99329E-05
 1.17009E+22 2.52288E+01 7.16735E-06 4.99996E-01 3.20685E-08 9.99620E-05
 1.20666E+22 2.37506E+01 7.38033E-06 4.99996E-01 1.71395E-08 9.99771E-05
 1.31635E+22 2.13848E+01 7.72781E-06 4.99995E-01 2.96306E-09 9.99927E-05
 1.46261E+22 2.04033E+01 7.68614E-06 4.99995E-01 4.03571E-10 9.99968E-05
 1.60887E+22 2.00048E+01 7.17645E-06 4.99995E-01 1.72113E-10 9.99968E-05
 1.75513E+22 1.95359E+01 6.99082E-06 4.99995E-01 1.49048E-10 9.99965E-05
 2.04766E+22 1.87155E+01 7.07420E-06 4.99995E-01 1.44830E-10 9.99964E-05
 2.34018E+22 1.79662E+01 7.20826E-06 4.99995E-01 1.43441E-10 9.99965E-05
 2.63270E+22 1.72995E+01 7.33655E-06 4.99995E-01 1.42061E-10 9.99965E-05
 2.92522E+22 1.66997E+01 7.46012E-06 4.99995E-01 1.40722E-10 9.99966E-05
 3.21773E+22 1.61616E+01 7.57821E-06 4.99995E-01 1.39447E-10 9.99966E-05
