#  J   Flux (erg s**-1 cm**-2)
   1   2.5472e-05
   2   2.2971e-04
   3   7.3915e-04
   4   1.6525e-03
   5   3.0624e-03
   6   5.0555e-03
   7   7.6906e-03
   8   1.1033e-02
   9   1.5117e-02
  10   1.9930e-02
  11   2.5497e-02
  12   3.1768e-02
  13   3.8679e-02
  14   4.6031e-02
  15   5.3834e-02
  16   6.2028e-02
  17   7.0384e-02
  18   7.8716e-02
  19   8.6846e-02
  20   9.4537e-02
  21   1.0152e-01
  22   1.0749e-01
  23   1.1236e-01
  24   1.1580e-01
  25   1.1742e-01
  26   1.1675e-01
  27   1.1352e-01
  28   1.0728e-01
  29   9.6987e-02
  30   8.1619e-02
  31   6.0733e-02
  32   3.7347e-02
  33   1.9591e-02
  34   9.9702e-03
  35   5.0316e-03
  36   2.5321e-03
  37   1.2551e-03
  38   6.1311e-04
  39   2.9481e-04
  40   1.3635e-04
  41   5.8723e-05
  42   2.7721e-05
  43   1.2931e-05
  44   5.9728e-06
  45   2.7470e-06
  46   1.2542e-06
  47   5.7278e-07
  48   2.6188e-07
  49   1.2123e-07
  50   5.7516e-08
  51   2.8262e-08
  52   1.4652e-08
  53   8.1418e-09
  54   4.8556e-09
  55   3.1014e-09
  56   2.0961e-09
  57   1.4765e-09
  58   1.0739e-09
  59   7.9583e-10
  60   5.9803e-10
  61   4.5289e-10
  62   3.4432e-10
  63   2.6389e-10
  64   2.0219e-10
  65   1.5532e-10
  66   1.1920e-10
  67   9.1458e-11
  68   7.0196e-11
  69   5.3834e-11
  70   4.1155e-11
  71   3.1391e-11
  72   2.3801e-11
  73   1.7895e-11
  74   1.3320e-11
