#  J   Flux (erg s**-1 cm**-2)
   1   5.2565e-06
   2   4.6081e-05
   3   1.5482e-04
   4   3.5575e-04
   5   6.6489e-04
   6   1.0896e-03
   7   1.6299e-03
   8   2.2720e-03
   9   2.9996e-03
  10   3.7712e-03
  11   4.5541e-03
  12   5.2628e-03
  13   5.7730e-03
  14   5.9087e-03
  15   5.4463e-03
  16   4.2085e-03
  17   2.3399e-03
  18   9.0315e-04
  19   2.8865e-04
  20   8.4622e-05
  21   2.3311e-05
  22   6.0846e-06
  23   1.5117e-06
  24   3.5952e-07
  25   8.1103e-08
  26   1.7153e-08
  27   3.4030e-09
  28   6.4830e-10
  29   1.1902e-10
  30   2.1212e-11
  31   3.5299e-12
