#  J   Flux (erg s**-1 cm**-2)
   1   1.8070e-07
   2   1.5859e-06
   3   4.7840e-06
   4   8.1870e-06
   5   9.4662e-06
   6   8.8920e-06
   7   7.7999e-06
   8   6.7569e-06
   9   5.7378e-06
  10   4.8205e-06
  11   4.0087e-06
  12   3.2848e-06
  13   2.6603e-06
  14   2.1137e-06
  15   1.6575e-06
  16   1.2868e-06
  17   9.8822e-07
  18   7.4795e-07
  19   5.5807e-07
  20   4.1368e-07
  21   3.0210e-07
  22   2.1865e-07
  23   1.5708e-07
  24   1.1192e-07
  25   7.9068e-08
  26   5.5656e-08
  27   3.9069e-08
  28   2.7357e-08
  29   1.9214e-08
  30   1.3496e-08
  31   9.5341e-09
  32   6.7745e-09
  33   4.8406e-09
  34   3.4935e-09
  35   2.5422e-09
  36   1.8661e-09
  37   1.3810e-09
  38   1.0342e-09
  39   7.8037e-10
  40   5.9288e-10
  41   4.5490e-10
  42   3.5048e-10
  43   2.7244e-10
  44   2.1250e-10
  45   1.6625e-10
  46   1.3069e-10
  47   1.0274e-10
  48   8.0852e-11
  49   6.3850e-11
  50   5.0542e-11
  51   4.0062e-11
  52   3.1831e-11
  53   2.5359e-11
  54   2.0169e-11
  55   1.6060e-11
  56   1.2730e-11
  57   1.0087e-11
  58   8.0249e-12
  59   6.3724e-12
  60   5.0642e-12
  61   4.0187e-12
  62   3.1831e-12
  63   2.5309e-12
  64   2.0068e-12
  65   1.5909e-12
  66   1.2566e-12
  67   9.8659e-13
  68   7.7145e-13
  69   6.0457e-13
  70   4.7099e-13
  71   3.6556e-13
  72   2.8174e-13
  73   2.1514e-13
  74   1.6185e-13
  75   1.2005e-13
  76   8.7035e-14
  77   6.0897e-14
  78   4.0087e-14
  79   2.3487e-14
  80   1.0424e-14
