#Leid  depth	A_V(extentd)	A_V(point)	Te	H0	H2	Co	C+	Oo	CO	O2	CH	OH	e	He+	H+	H3+	N(H0)	N(H2)	N(Co)	N(C+)	N(Oo)	N(CO)	N(O2)	N(CH)	(OH)	N(e)	N(He+)	N(H+)	N(H3+)	H2(Sol)	H2(FrmGrn)	H2(photodiss)	G0(DB96)	rate(CO)	rate(C)	heat	cool	GrnP	Gr-Gas-Cool	Gr-Gas-Heat	COds	H2dH	H2vH	ChaT	CR H	MgI	SI	Si	Fe	Na	Al	C	C610	C370	C157	C63	C146
2.90301e+11	0.000e+00	1.165e-04	3.671e+03	3.154e+05	8.027e-01	2.019e-03	3.162e+01	9.979e+01	4.125e-06	1.617e-08	8.539e-09	6.042e-04	9.227e+02	5.265e-04	8.725e+02	7.394e-10	1.831e+17	4.661e+11	1.172e+09	1.836e+13	5.794e+13	2.395e+06	9.386e+03	4.958e+03	3.508e+08	5.357e+14	3.057e+08	5.066e+14	4.293e+02	3.708e-06	5.748e-11	0.000e+00	5.009e+04	0.000e+00	1.689e-05	2.648e-16	2.649e-16	2.444e-16	9.536e-17	-0.000e+00	0.000e+00	5.253e-18	1.035e-17	9.356e-19	1.549e-22	0.000e+00	1.067e-20	2.980e-20	0.000e+00	0.000e+00	0.000e+00	4.427e-20	1.757e-25	1.609e-24	5.669e-19	7.789e-17	2.370e-18
1.74180e+12	0.000e+00	5.824e-04	3.586e+03	3.154e+05	7.929e-01	2.006e-03	3.162e+01	9.979e+01	3.989e-06	1.584e-08	8.445e-09	5.790e-04	9.119e+02	5.290e-04	8.615e+02	7.184e-10	9.155e+17	2.308e+12	5.831e+09	9.180e+13	2.897e+14	1.166e+07	4.616e+04	2.457e+04	1.696e+09	2.653e+15	1.534e+09	2.507e+15	2.098e+03	3.705e-06	5.681e-11	7.336e-17	5.007e+04	0.000e+00	1.688e-05	2.638e-16	2.642e-16	2.439e-16	9.254e-17	-0.000e+00	0.000e+00	5.185e-18	1.026e-17	8.917e-19	1.544e-22	0.000e+00	1.059e-20	2.964e-20	0.000e+00	0.000e+00	0.000e+00	4.397e-20	1.746e-25	1.598e-24	5.799e-19	7.767e-17	2.365e-18
4.37418e+12	0.000e+00	1.173e-03	3.292e+03	3.155e+05	7.579e-01	1.842e-03	3.162e+01	9.981e+01	3.511e-06	1.458e-08	7.626e-09	4.918e-04	8.145e+02	5.542e-04	7.645e+02	6.353e-10	1.844e+18	4.538e+12	1.125e+10	1.848e+14	5.834e+14	2.199e+07	8.906e+04	4.701e+04	3.143e+09	5.050e+15	3.165e+09	4.757e+15	3.967e+03	3.683e-06	5.443e-11	8.800e-18	5.000e+04	0.000e+00	1.685e-05	2.455e-16	2.457e-16	2.273e-16	8.012e-17	-0.000e+00	0.000e+00	4.911e-18	9.646e-18	7.513e-19	1.496e-22	0.000e+00	9.696e-21	2.727e-20	0.000e+00	0.000e+00	0.000e+00	4.030e-20	1.604e-25	1.467e-24	5.856e-19	7.686e-17	2.343e-18
6.33774e+12	0.000e+00	1.370e-03	2.925e+03	3.156e+05	7.113e-01	1.691e-03	3.162e+01	9.984e+01	2.857e-06	1.257e-08	6.827e-09	3.816e-04	7.099e+02	5.783e-04	6.607e+02	5.245e-10	2.154e+18	5.238e+12	1.292e+10	2.160e+14	6.817e+14	2.480e+07	1.014e+05	5.373e+04	3.518e+09	5.749e+15	3.734e+09	5.407e+15	4.484e+03	3.659e-06	5.131e-11	1.507e-19	4.991e+04	0.000e+00	1.683e-05	2.255e-16	2.259e-16	2.095e-16	6.635e-17	-0.000e+00	0.000e+00	4.565e-18	8.740e-18	6.066e-19	1.439e-22	0.000e+00	8.868e-21	2.504e-20	0.000e+00	0.000e+00	0.000e+00	3.692e-20	1.473e-25	1.345e-24	5.855e-19	7.566e-17	2.310e-18
7.27820e+12	0.000e+00	1.550e-03	2.839e+03	3.156e+05	6.987e-01	1.662e-03	3.162e+01	9.985e+01	2.695e-06	1.203e-08	6.659e-09	3.557e-04	6.875e+02	5.831e-04	6.378e+02	4.969e-10	2.437e+18	5.864e+12	1.441e+10	2.443e+14	7.712e+14	2.722e+07	1.122e+05	5.970e+04	3.837e+09	6.365e+15	4.257e+09	5.979e+15	4.929e+03	3.656e-06	5.055e-11	3.550e-20	4.988e+04	0.000e+00	1.682e-05	2.213e-16	2.217e-16	2.057e-16	6.335e-17	-0.000e+00	0.000e+00	4.496e-18	8.521e-18	5.754e-19	1.427e-22	0.000e+00	8.707e-21	2.460e-20	0.000e+00	0.000e+00	0.000e+00	3.627e-20	1.449e-25	1.322e-24	5.853e-19	7.535e-17	2.301e-18
8.13402e+12	0.000e+00	1.714e-03	2.754e+03	3.156e+05	6.880e-01	1.639e-03	3.162e+01	9.985e+01	2.541e-06	1.149e-08	6.529e-09	3.312e-04	6.670e+02	5.871e-04	6.175e+02	4.709e-10	2.695e+18	6.425e+12	1.574e+10	2.701e+14	8.526e+14	2.929e+07	1.216e+05	6.502e+04	4.107e+09	6.909e+15	4.736e+09	6.482e+15	5.313e+03	3.650e-06	4.978e-11	9.420e-21	4.985e+04	0.000e+00	1.680e-05	2.175e-16	2.177e-16	2.024e-16	6.050e-17	-0.000e+00	0.000e+00	4.411e-18	8.276e-18	5.466e-19	1.415e-22	0.000e+00	8.569e-21	2.422e-20	0.000e+00	0.000e+00	0.000e+00	3.573e-20	1.428e-25	1.303e-24	5.852e-19	7.501e-17	2.292e-18
8.91281e+12	0.000e+00	1.863e-03	2.728e+03	3.156e+05	6.837e-01	1.631e-03	3.162e+01	9.985e+01	2.491e-06	1.132e-08	6.477e-09	3.235e-04	6.602e+02	5.885e-04	6.107e+02	4.629e-10	2.929e+18	6.933e+12	1.695e+10	2.936e+14	9.267e+14	3.114e+07	1.300e+05	6.983e+04	4.347e+09	7.399e+15	5.172e+09	6.936e+15	5.656e+03	3.647e-06	4.955e-11	2.797e-21	4.983e+04	0.000e+00	1.680e-05	2.161e-16	2.165e-16	2.012e-16	5.962e-17	-0.000e+00	0.000e+00	4.398e-18	8.217e-18	5.326e-19	1.411e-22	0.000e+00	8.519e-21	2.408e-20	0.000e+00	0.000e+00	0.000e+00	3.554e-20	1.421e-25	1.297e-24	5.851e-19	7.491e-17	2.289e-18
9.76622e+12	0.000e+00	2.056e-03	2.667e+03	3.156e+05	6.742e-01	1.616e-03	3.162e+01	9.986e+01	2.375e-06	1.089e-08	6.376e-09	3.055e-04	6.461e+02	5.911e-04	5.967e+02	4.439e-10	3.233e+18	7.583e+12	1.851e+10	3.241e+14	1.023e+15	3.343e+07	1.405e+05	7.598e+04	4.642e+09	8.022e+15	5.742e+09	7.511e+15	6.085e+03	3.643e-06	4.899e-11	9.241e-22	4.981e+04	0.000e+00	1.679e-05	2.136e-16	2.137e-16	1.990e-16	5.764e-17	-0.000e+00	0.000e+00	4.354e-18	8.054e-18	5.253e-19	1.403e-22	0.000e+00	8.430e-21	2.383e-20	0.000e+00	0.000e+00	0.000e+00	3.519e-20	1.409e-25	1.285e-24	5.850e-19	7.466e-17	2.282e-18
1.06875e+13	0.000e+00	2.232e-03	2.588e+03	3.156e+05	6.655e-01	1.595e-03	3.162e+01	9.986e+01	2.240e-06	1.040e-08	6.275e-09	2.848e-04	6.276e+02	5.947e-04	5.782e+02	4.209e-10	3.510e+18	8.167e+12	1.991e+10	3.518e+14	1.111e+15	3.540e+07	1.496e+05	8.149e+04	4.892e+09	8.573e+15	6.265e+09	8.019e+15	6.454e+03	3.639e-06	4.826e-11	2.185e-22	4.978e+04	0.000e+00	1.677e-05	2.101e-16	2.103e-16	1.959e-16	5.513e-17	-0.000e+00	0.000e+00	4.264e-18	7.797e-18	5.024e-19	1.392e-22	0.000e+00	8.307e-21	2.349e-20	0.000e+00	0.000e+00	0.000e+00	3.472e-20	1.391e-25	1.268e-24	5.848e-19	7.432e-17	2.272e-18
1.15259e+13	0.000e+00	2.393e-03	2.515e+03	3.157e+05	6.554e-01	1.578e-03	3.162e+01	9.987e+01	2.109e-06	9.905e-09	6.167e-09	2.649e-04	6.107e+02	5.979e-04	5.613e+02	3.989e-10	3.763e+18	8.691e+12	2.117e+10	3.771e+14	1.190e+15	3.708e+07	1.575e+05	8.642e+04	5.104e+09	9.061e+15	6.742e+09	8.467e+15	6.773e+03	3.635e-06	4.758e-11	5.864e-23	4.975e+04	0.000e+00	1.676e-05	2.069e-16	2.071e-16	1.932e-16	5.284e-17	-0.000e+00	0.000e+00	4.199e-18	7.572e-18	4.831e-19	1.381e-22	0.000e+00	8.199e-21	2.319e-20	0.000e+00	0.000e+00	0.000e+00	3.431e-20	1.376e-25	1.254e-24	5.846e-19	7.400e-17	2.263e-18
