# J 	 flux erg/s/cm2
1	0.1049451E-04
2	0.4355364E-04
3	0.1169727E-03
4	0.2342466E-03
5	0.4031565E-03
6	0.6524216E-03
7	0.1011267E-02
8	0.1518879E-02
9	0.2222352E-02
10	0.3129592E-02
11	0.3863274E-02
12	0.4651906E-02
13	0.5398388E-02
14	0.5822671E-02
15	0.5654601E-02
16	0.4618699E-02
17	0.2581381E-02
18	0.3670566E-03
19	0.4510108E-05
20	0.1086391E-05
21	0.2274057E-06
22	0.1157963E-06
23	0.9398103E-07
24	0.8925298E-07
25	0.8781068E-07
26	0.8705176E-07
27	0.8604838E-07
28	0.7992558E-07
