# J 	 flux erg/s/cm2
1	0.2908096E-05
2	0.3109938E-04
3	0.1138311E-03
4	0.2688493E-03
5	0.4978370E-03
6	0.7848988E-03
7	0.1096292E-02
8	0.1384878E-02
9	0.1587770E-02
10	0.1629908E-02
11	0.1463048E-02
12	0.1076300E-02
13	0.6232596E-03
14	0.2991821E-03
15	0.1223809E-03
16	0.4453688E-04
17	0.1491932E-04
18	0.4474217E-05
19	0.1190301E-05
20	0.2990442E-06
21	0.4709627E-07
22	0.9083980E-08
23	0.1724020E-08
24	0.2858457E-09
25	0.4653276E-10
26	0.6961887E-11
27	0.1123007E-11
28	0.1272704E-12
