# J 	 flux erg/s/cm2
1	0.6263544E-08
2	0.3867301E-06
3	0.1713018E-05
4	0.6022965E-05
5	0.1175018E-04
6	0.1683985E-04
7	0.1999378E-04
8	0.2116681E-04
9	0.2088272E-04
10	0.1967195E-04
11	0.1808804E-04
12	0.1633456E-04
13	0.1461111E-04
14	0.1300116E-04
15	0.1152512E-04
16	0.1019992E-04
17	0.9026604E-05
18	0.7956636E-05
19	0.7030717E-05
20	0.6183955E-05
21	0.5010143E-05
22	0.4412262E-05
23	0.3872602E-05
24	0.3335808E-05
25	0.2800897E-05
26	0.2237472E-05
27	0.1585673E-05
28	0.8391725E-06
