# J 	 flux erg/s/cm2
1	0.1090121E-04
2	0.1202273E-03
3	0.4684311E-03
4	0.1205845E-02
5	0.2478776E-02
6	0.4418279E-02
7	0.7131747E-02
8	0.1069670E-01
9	0.1514266E-01
10	0.2046735E-01
11	0.2661634E-01
12	0.3346805E-01
13	0.4084816E-01
14	0.4857969E-01
15	0.5626974E-01
16	0.6368866E-01
17	0.7026798E-01
18	0.7588797E-01
19	0.7892344E-01
20	0.8030076E-01
21	0.7471357E-01
22	0.7005234E-01
23	0.6133492E-01
24	0.4845666E-01
25	0.3248533E-01
26	0.1814158E-01
27	0.8723607E-02
28	0.3043484E-02
