     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 2.00000E+01 7.64045E+03 9.48380E+02 2.29388E-02 5.64302E+01 2.87121E-01 2.81802E-02 7.00823E-02 4.47900E-08 7.95999E-08 8.67630E-25 5.07380E-06 8.69275E-12
 1.89256E+17 2.00000E+01 7.64140E+03 9.48378E+02 2.29228E-02 5.64318E+01 2.87121E-01 2.81806E-02 7.00819E-02 4.47596E-08 7.95645E-08 8.65768E-25 5.06996E-06 8.67984E-12
 2.25257E+17 2.00000E+01 7.64045E+03 9.48380E+02 2.29388E-02 5.64298E+01 2.87121E-01 2.81801E-02 7.00825E-02 4.47906E-08 7.96002E-08 8.67645E-25 5.07382E-06 8.69284E-12
 2.68108E+17 2.00000E+01 7.64140E+03 9.48379E+02 2.29228E-02 5.64316E+01 2.87121E-01 2.81806E-02 7.00820E-02 4.47598E-08 7.95646E-08 8.65773E-25 5.06997E-06 8.67987E-12
 3.19109E+17 2.00000E+01 7.64045E+03 9.48380E+02 2.29388E-02 5.64297E+01 2.87121E-01 2.81800E-02 7.00825E-02 4.47908E-08 7.96004E-08 8.67651E-25 5.07383E-06 8.69288E-12
 3.79813E+17 2.00000E+01 7.64140E+03 9.48379E+02 2.29228E-02 5.64315E+01 2.87121E-01 2.81805E-02 7.00820E-02 4.47601E-08 7.95648E-08 8.65780E-25 5.06998E-06 8.67991E-12
 4.52064E+17 2.00000E+01 7.64045E+03 9.48381E+02 2.29388E-02 5.64295E+01 2.87121E-01 2.81799E-02 7.00827E-02 4.47912E-08 7.96006E-08 8.67660E-25 5.07385E-06 8.69293E-12
 5.38059E+17 2.00000E+01 7.64140E+03 9.48379E+02 2.29227E-02 5.64312E+01 2.87121E-01 2.81804E-02 7.00822E-02 4.47605E-08 7.95650E-08 8.65791E-25 5.07000E-06 8.67998E-12
 6.40413E+17 2.00000E+01 7.64045E+03 9.48381E+02 2.29387E-02 5.64292E+01 2.87122E-01 2.81798E-02 7.00828E-02 4.47917E-08 7.96009E-08 8.67672E-25 5.07387E-06 8.69300E-12
 7.62238E+17 2.00000E+01 7.64140E+03 9.48379E+02 2.29227E-02 5.64309E+01 2.87121E-01 2.81802E-02 7.00824E-02 4.47611E-08 7.95654E-08 8.65805E-25 5.07003E-06 8.68006E-12
 9.07237E+17 2.00000E+01 7.64045E+03 9.48381E+02 2.29387E-02 5.64288E+01 2.87122E-01 2.81796E-02 7.00830E-02 4.47924E-08 7.96013E-08 8.67689E-25 5.07390E-06 8.69311E-12
 1.07982E+18 2.00000E+01 7.64140E+03 9.48380E+02 2.29227E-02 5.64304E+01 2.87121E-01 2.81800E-02 7.00826E-02 4.47620E-08 7.95659E-08 8.65826E-25 5.07006E-06 8.68019E-12
 1.28523E+18 2.00000E+01 7.64045E+03 9.48382E+02 2.29387E-02 5.64283E+01 2.87122E-01 2.81793E-02 7.00834E-02 4.47935E-08 7.96020E-08 8.67714E-25 5.07394E-06 8.69326E-12
 1.52972E+18 2.00000E+01 7.64140E+03 9.48380E+02 2.29227E-02 5.64298E+01 2.87122E-01 2.81796E-02 7.00830E-02 4.47632E-08 7.95667E-08 8.65855E-25 5.07011E-06 8.68036E-12
 1.82071E+18 2.00000E+01 7.64045E+03 9.48382E+02 2.29387E-02 5.64275E+01 2.87122E-01 2.81789E-02 7.00838E-02 4.47949E-08 7.96028E-08 8.67749E-25 5.07400E-06 8.69346E-12
 2.16707E+18 2.00000E+01 7.64140E+03 9.48381E+02 2.29227E-02 5.64289E+01 2.87122E-01 2.81791E-02 7.00836E-02 4.47650E-08 7.95677E-08 8.65896E-25 5.07018E-06 8.68061E-12
 2.57930E+18 2.00000E+01 7.64045E+03 9.48383E+02 2.29387E-02 5.64264E+01 2.87122E-01 2.81783E-02 7.00845E-02 4.47970E-08 7.96041E-08 8.67798E-25 5.07408E-06 8.69376E-12
 3.06996E+18 2.00000E+01 7.64140E+03 9.48382E+02 2.29227E-02 5.64275E+01 2.87122E-01 2.81785E-02 7.00843E-02 4.47674E-08 7.95692E-08 8.65954E-25 5.07028E-06 8.68096E-12
 3.65395E+18 2.00000E+01 7.64045E+03 9.48385E+02 2.29387E-02 5.64248E+01 2.87123E-01 2.81775E-02 7.00854E-02 4.47999E-08 7.96058E-08 8.67867E-25 5.07420E-06 8.69417E-12
 4.34904E+18 2.00000E+01 7.64140E+03 9.48384E+02 2.29226E-02 5.64257E+01 2.87122E-01 2.81775E-02 7.00854E-02 4.47709E-08 7.95712E-08 8.66037E-25 5.07042E-06 8.68145E-12
