#  J   Flux (erg s**-1 cm**-2)
   1   3.7781e-07
   2   3.3690e-06
   3   1.0436e-05
   4   2.0408e-05
   5   2.9167e-05
   6   2.9462e-05
   7   1.7907e-05
   8   6.4088e-06
   9   1.6198e-06
  10   3.5242e-07
  11   8.7713e-08
  12   4.2305e-08
  13   3.5996e-08
  14   3.4256e-08
  15   3.1674e-08
  16   2.8130e-08
  17   2.4002e-08
  18   1.9805e-08
  19   1.5903e-08
  20   1.2478e-08
  21   9.5567e-09
  22   7.1880e-09
  23   5.3325e-09
  24   3.9063e-09
  25   2.8237e-09
  26   2.0200e-09
  27   1.4326e-09
  28   1.0072e-09
  29   7.0372e-10
  30   4.8758e-10
  31   3.3584e-10
  32   2.2978e-10
  33   1.5626e-10
  34   1.0556e-10
  35   7.0811e-11
  36   4.7155e-11
  37   3.1152e-11
  38   2.0345e-11
  39   1.3113e-11
  40   8.2875e-12
  41   5.0580e-12
  42   3.2918e-12
  43   2.1338e-12
  44   1.3766e-12
  45   8.8593e-13
  46   5.6800e-13
  47   3.6311e-13
  48   2.3122e-13
  49   1.4665e-13
  50   9.2803e-14
  51   5.8534e-14
  52   3.6813e-14
  53   2.3103e-14
  54   1.4458e-14
  55   9.0227e-15
  56   5.6172e-15
  57   3.4909e-15
