#  J   Flux (erg s**-1 cm**-2)
   1   2.3838e-06
   2   2.4052e-05
   3   7.9558e-05
   4   1.7379e-04
   5   2.9996e-04
   6   4.3455e-04
   7   5.2289e-04
   8   4.6734e-04
   9   2.6339e-04
  10   9.0767e-05
  11   2.1903e-05
  12   5.1183e-06
  13   2.0584e-06
  14   1.5444e-06
  15   1.3559e-06
  16   1.1814e-06
  17   9.9262e-07
  18   8.0701e-07
  19   6.3774e-07
  20   4.9147e-07
  21   3.6907e-07
  22   2.7131e-07
  23   1.9604e-07
  24   1.3924e-07
  25   9.7100e-08
  26   6.6753e-08
  27   4.5252e-08
  28   3.0260e-08
  29   1.9993e-08
  30   1.3044e-08
  31   8.4220e-09
  32   5.3696e-09
  33   3.3892e-09
  34   2.1149e-09
  35   1.3056e-09
  36   7.9683e-10
  37   4.8016e-10
  38   2.8538e-10
  39   1.6663e-10
  40   9.4487e-11
  41   5.0919e-11
  42   2.9933e-11
  43   1.7543e-11
  44   1.0238e-11
  45   5.9741e-12
  46   3.4821e-12
  47   2.0320e-12
  48   1.1869e-12
  49   6.9655e-13
  50   4.1067e-13
  51   2.4354e-13
  52   1.4539e-13
  53   8.7562e-14
  54   5.3219e-14
