# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  4.8863e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4806e-30  -9.8430e-25
  5.0701e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4809e-30  -9.8430e-25
  5.2607e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4811e-30  -9.8430e-25
  5.4586e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4814e-30  -9.8430e-25
  5.6638e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4816e-30  -9.8430e-25
  5.8768e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4819e-30  -9.8430e-25
  6.0978e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4822e-30  -9.8430e-25
  6.3271e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4824e-30  -9.8430e-25
  6.5651e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4827e-30  -9.8430e-25
  6.8120e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4829e-30  -9.8430e-25
  7.0681e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4832e-30  -9.8430e-25
  7.3339e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4834e-30  -9.8430e-25
  7.6097e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4837e-30  -9.8430e-25
  7.8959e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4839e-30  -9.8430e-25
  8.1928e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4842e-30  -9.8430e-25
  8.5009e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4844e-30  -9.8430e-25
  8.8206e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4847e-30  -9.8430e-25
  9.1523e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4849e-30  -9.8430e-25
