! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 0.00000E+00 8.37578E+02 9.17973E-01 4.09973E-02 3.89372E-05 5.46891E-05
 1.71000E+15 8.37578E+02 9.17972E-01 4.09974E-02 3.89372E-05 5.46892E-05
 3.42000E+15 8.27763E+02 9.00273E-01 4.98391E-02 3.94236E-05 5.54779E-05
 5.13001E+15 8.21296E+02 8.83665E-01 5.81348E-02 3.96372E-05 5.58608E-05
 6.84001E+15 8.14879E+02 8.65352E-01 6.72814E-02 3.97447E-05 5.60140E-05
 8.55001E+15 8.08513E+02 8.45147E-01 7.73728E-02 3.97963E-05 5.59747E-05
 1.02600E+16 8.02197E+02 8.23082E-01 8.83932E-02 3.98280E-05 5.57628E-05
 1.19700E+16 7.95930E+02 7.98374E-01 1.00734E-01 3.98666E-05 5.53742E-05
 1.36800E+16 7.89711E+02 7.71051E-01 1.14382E-01 3.99339E-05 5.48024E-05
 1.53900E+16 7.83542E+02 7.41895E-01 1.28946E-01 4.00433E-05 5.40643E-05
 1.71000E+16 7.71299E+02 7.09264E-01 1.45250E-01 4.02096E-05 5.32773E-05
 1.88100E+16 7.65273E+02 6.75232E-01 1.62253E-01 4.04139E-05 5.22021E-05
 2.05200E+16 7.47337E+02 6.37552E-01 1.81087E-01 4.06398E-05 5.13939E-05
 2.22300E+16 7.23983E+02 5.96825E-01 2.01449E-01 4.08686E-05 5.08132E-05
 2.39400E+16 6.78734E+02 5.49846E-01 2.24958E-01 4.12247E-05 5.12003E-05
 2.39434E+16 5.72682E+02 4.85790E-01 2.57071E-01 4.47901E-05 5.00200E-05
 2.56534E+16 5.72682E+02 4.85700E-01 2.57117E-01 4.47901E-05 5.00199E-05
 2.73633E+16 5.18993E+02 4.33911E-01 2.83035E-01 4.88645E-05 4.26161E-05
 2.90733E+16 4.74392E+02 3.87020E-01 3.06487E-01 5.01464E-05 3.21676E-05
 2.90767E+16 4.22505E+02 3.43300E-01 3.28349E-01 4.14427E-05 1.70464E-05
 3.07867E+16 4.22505E+02 3.43218E-01 3.28390E-01 4.14473E-05 1.70476E-05
 3.07900E+16 8.49188E+01 4.04648E-01 2.97676E-01 2.18818E-05 1.25986E-06
 3.25000E+16 8.49188E+01 4.04575E-01 2.97713E-01 2.18823E-05 1.26005E-06
 3.42102E+16 8.25968E+01 3.72257E-01 3.13871E-01 2.22725E-05 1.33418E-06
 3.59200E+16 8.03383E+01 3.42538E-01 3.28731E-01 2.26490E-05 1.40210E-06
 3.76299E+16 7.81415E+01 3.15667E-01 3.42167E-01 2.30099E-05 1.46290E-06
 4.10500E+16 7.63101E+01 2.91260E-01 3.54370E-01 2.33289E-05 1.51914E-06
 4.44700E+16 7.30312E+01 2.50691E-01 3.74655E-01 2.38951E-05 1.61163E-06
 4.78901E+16 7.04637E+01 2.18157E-01 3.90921E-01 2.43579E-05 1.68651E-06
 5.13099E+16 6.74359E+01 1.92946E-01 4.03527E-01 2.48359E-05 1.73743E-06
 6.49901E+16 6.50651E+01 1.72466E-01 4.13767E-01 2.52287E-05 1.77902E-06
 1.19710E+17 5.92194E+01 1.22361E-01 4.38820E-01 2.62573E-05 1.87903E-06
 1.20138E+17 5.25110E+01 6.33935E-02 4.68303E-01 2.76208E-05 1.99664E-06
 1.47497E+17 5.25110E+01 6.31695E-02 4.68415E-01 2.76239E-05 1.99745E-06
 2.56937E+17 5.13828E+01 5.28307E-02 4.73585E-01 2.79001E-05 2.01940E-06
 6.94698E+17 4.94760E+01 3.57813E-02 4.82109E-01 2.84503E-05 2.05775E-06
 2.44574E+18 4.77366E+01 2.12564E-02 4.89372E-01 2.92356E-05 2.10111E-06
 9.44989E+18 4.68043E+01 1.25646E-02 4.93718E-01 3.04324E-05 2.21679E-06
 3.74665E+19 4.60730E+01 7.37142E-03 4.96314E-01 3.28966E-05 2.83567E-06
 9.34997E+19 4.53531E+01 4.30632E-03 4.97847E-01 3.76843E-05 4.04249E-06
 3.17634E+20 4.38472E+01 2.53309E-03 4.98733E-01 4.78619E-05 7.86815E-06
