! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 0.00000E+00 1.17602E+03 9.99935E-01 1.21819E-08 2.44101E-12 1.15472E-18
 1.71000E+19 1.15764E+03 9.99935E-01 1.27430E-08 2.53797E-12 1.22221E-18
 1.85141E+19 1.15764E+03 9.99935E-01 1.27923E-08 2.54529E-12 1.22784E-18
 2.31426E+19 1.15764E+03 9.99935E-01 1.29135E-08 2.56755E-12 1.24642E-18
 2.77711E+19 1.15764E+03 9.99935E-01 1.30384E-08 2.59005E-12 1.26529E-18
 3.23996E+19 1.15764E+03 9.99935E-01 1.31644E-08 2.61275E-12 1.28445E-18
 3.70282E+19 1.15764E+03 9.99935E-01 1.32917E-08 2.63563E-12 1.30389E-18
 4.16567E+19 1.15764E+03 9.99935E-01 1.34202E-08 2.65872E-12 1.32363E-18
 4.62852E+19 1.15764E+03 9.99935E-01 1.35500E-08 2.68200E-12 1.34367E-18
 5.09137E+19 1.15764E+03 9.99935E-01 1.36810E-08 2.70548E-12 1.36401E-18
 5.55422E+19 1.13955E+03 9.99936E-01 1.39551E-08 2.74781E-12 1.38651E-18
 6.47993E+19 1.13955E+03 9.99936E-01 1.42225E-08 2.79609E-12 1.42882E-18
 7.40563E+19 1.13955E+03 9.99936E-01 1.44990E-08 2.84525E-12 1.47241E-18
 8.33134E+19 1.12175E+03 9.99936E-01 1.49286E-08 2.91507E-12 1.51942E-18
 9.25704E+19 1.12175E+03 9.99936E-01 1.52191E-08 2.96631E-12 1.56579E-18
 1.01827E+20 1.12175E+03 9.99936E-01 1.55153E-08 3.01845E-12 1.61357E-18
 1.11084E+20 1.10422E+03 9.99937E-01 1.59707E-08 3.09254E-12 1.66515E-18
 1.20342E+20 1.10422E+03 9.99937E-01 1.62817E-08 3.14688E-12 1.71597E-18
 1.29599E+20 1.10422E+03 9.99937E-01 1.65988E-08 3.20217E-12 1.76834E-18
 1.38856E+20 1.10422E+03 9.99937E-01 1.69222E-08 3.25844E-12 1.82231E-18
 1.48113E+20 1.10422E+03 9.99937E-01 1.72519E-08 3.31568E-12 1.87793E-18
 1.57370E+20 1.08697E+03 9.99937E-01 1.77539E-08 3.39707E-12 1.93806E-18
 1.66627E+20 1.08697E+03 9.99937E-01 1.81001E-08 3.45674E-12 1.99722E-18
 1.75884E+20 1.08697E+03 9.99937E-01 1.84531E-08 3.51746E-12 2.05818E-18
 1.85141E+20 1.06998E+03 9.99938E-01 1.89854E-08 3.60382E-12 2.12418E-18
 1.94398E+20 1.06998E+03 9.99938E-01 1.93561E-08 3.66711E-12 2.18903E-18
 2.03655E+20 1.05326E+03 9.99938E-01 1.99095E-08 3.75718E-12 2.25930E-18
 2.12912E+20 1.05326E+03 9.99938E-01 2.02987E-08 3.82316E-12 2.32830E-18
 2.22169E+20 1.05326E+03 9.99938E-01 2.06957E-08 3.89029E-12 2.39940E-18
