! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 0.00000E+00 6.12631E+03 9.99982E-01 2.26452E-07 1.62612E-10 3.63657E-13
 1.71000E+19 6.10238E+03 9.99982E-01 2.34823E-07 1.67649E-10 3.87560E-13
 2.90700E+20 6.19773E+03 9.99981E-01 3.80976E-07 2.62180E-10 9.91667E-13
 4.27500E+20 6.34299E+03 9.99977E-01 6.23714E-07 3.43176E-10 2.02617E-12
 5.64300E+20 6.44210E+03 9.99974E-01 9.00086E-07 4.43140E-10 3.61166E-12
 6.32700E+20 6.54276E+03 9.99970E-01 1.20267E-06 5.18625E-10 5.33988E-12
 7.01100E+20 6.64499E+03 9.99968E-01 1.48270E-06 5.97137E-10 7.29197E-12
 7.69500E+20 6.74882E+03 9.99964E-01 1.85235E-06 6.93320E-10 1.00941E-11
 8.37900E+20 6.85427E+03 9.99960E-01 2.35493E-06 8.14254E-10 1.42203E-11
 9.06300E+20 6.96136E+03 9.99955E-01 3.05763E-06 9.70886E-10 2.04565E-11
 9.40500E+20 7.09733E+03 9.99949E-01 3.77470E-06 1.10017E-09 2.65127E-11
 9.74700E+20 7.18050E+03 9.99945E-01 4.36335E-06 1.21803E-09 3.22146E-11
 1.00890E+21 7.26465E+03 9.99940E-01 5.08135E-06 1.35778E-09 3.94207E-11
 1.04310E+21 7.34978E+03 9.99935E-01 5.96311E-06 1.52517E-09 4.85920E-11
 1.07730E+21 7.43591E+03 9.99929E-01 7.05547E-06 1.72806E-09 6.03636E-11
 1.11150E+21 7.52305E+03 9.99922E-01 8.43707E-06 1.97931E-09 7.57504E-11
 1.14570E+21 7.64060E+03 9.99914E-01 1.01441E-05 2.28664E-09 9.53762E-11
 1.17990E+21 7.73013E+03 9.99905E-01 1.24155E-05 2.68802E-09 1.22333E-10
 1.21410E+21 7.82072E+03 9.99894E-01 1.54342E-05 3.21567E-09 1.59259E-10
 1.24830E+21 7.88182E+03 9.99880E-01 1.96126E-05 3.93874E-09 2.12198E-10
 1.28250E+21 7.97419E+03 9.99863E-01 2.52051E-05 4.91004E-09 2.85143E-10
 1.31670E+21 8.03648E+03 9.99842E-01 3.29066E-05 6.25514E-09 3.89835E-10
 1.35090E+21 8.06716E+03 9.99817E-01 4.32196E-05 8.08344E-09 5.37296E-10
 1.38510E+21 8.09736E+03 9.99788E-01 5.59822E-05 1.04120E-08 7.30153E-10
 1.41930E+21 8.11223E+03 9.99757E-01 7.07673E-05 1.32153E-08 9.69443E-10
 1.45350E+21 8.10431E+03 9.99724E-01 8.68747E-05 1.64175E-08 1.25254E-09
 1.46261E+21 8.11912E+03 9.99699E-01 9.88433E-05 1.87032E-08 1.44214E-09
 1.49906E+21 8.08740E+03 9.99683E-01 1.07618E-04 2.08671E-08 1.66196E-09
 1.53551E+21 8.05581E+03 9.99651E-01 1.24071E-04 2.46806E-08 2.02798E-09
 1.60841E+21 8.02434E+03 9.99610E-01 1.46589E-04 3.08720E-08 2.67547E-09
 1.68131E+21 7.96165E+03 9.99554E-01 1.76528E-04 3.96922E-08 3.60940E-09
 1.75421E+21 7.89945E+03 9.99501E-01 2.05408E-04 4.95713E-08 4.70504E-09
 1.82711E+21 7.83774E+03 9.99446E-01 2.34578E-04 6.09951E-08 6.20805E-09
 1.97291E+21 7.68466E+03 9.99332E-01 2.95081E-04 8.88915E-08 1.03058E-08
 2.11871E+21 7.56458E+03 9.99191E-01 3.68711E-04 1.31836E-07 1.78193E-08
 2.26451E+21 7.41684E+03 9.99021E-01 4.56751E-04 1.95986E-07 3.08219E-08
 2.41031E+21 7.30095E+03 9.98823E-01 5.57535E-04 2.90135E-07 5.25466E-08
 2.55611E+21 7.12983E+03 9.98574E-01 6.83647E-04 4.35572E-07 9.16386E-08
 2.84770E+21 6.85132E+03 9.97954E-01 9.96131E-04 9.46337E-07 2.46568E-07
 2.92522E+21 6.77104E+03 9.97736E-01 1.10545E-03 1.23886E-06 4.00619E-07
 3.23531E+21 6.40074E+03 9.96672E-01 1.63834E-03 2.78883E-06 1.12847E-06
 3.39036E+21 6.05070E+03 9.95759E-01 2.09446E-03 4.55283E-06 3.05135E-06
 3.46788E+21 5.71981E+03 9.94942E-01 2.50247E-03 5.84537E-06 6.15390E-06
 3.54540E+21 5.18357E+03 9.93433E-01 3.25576E-03 7.32845E-06 1.23779E-05
 3.54570E+21 4.45463E+03 9.91059E-01 4.44225E-03 7.66856E-06 2.24738E-05
 3.55539E+21 4.31543E+03 9.90400E-01 4.77148E-03 7.87916E-06 2.40388E-05
 3.55570E+21 8.27288E+02 5.39965E-01 2.30012E-01 2.22542E-05 4.35698E-05
 3.55812E+21 8.20825E+02 5.32167E-01 2.33911E-01 2.25905E-05 4.33017E-05
 3.56296E+21 7.88762E+02 4.92417E-01 2.53787E-01 2.41449E-05 4.19607E-05
 3.56781E+21 7.51788E+02 4.42537E-01 2.78728E-01 2.57742E-05 4.08525E-05
 3.57265E+21 7.22422E+02 4.01719E-01 2.99137E-01 2.69617E-05 3.98759E-05
 3.58234E+21 6.99846E+02 3.68006E-01 3.15994E-01 2.77944E-05 3.94467E-05
