# J 	 flux erg/s/cm2
1	0.8343458E-06
2	0.7011581E-05
3	0.1966275E-04
4	0.3367542E-04
5	0.4043904E-04
6	0.3190706E-04
7	0.1313734E-04
8	0.3012463E-05
9	0.4702803E-06
10	0.5388901E-07
11	0.4659260E-08
12	0.3051916E-09
13	0.1495788E-10
14	0.5682165E-12
15	0.1637681E-13
16	0.4198944E-15
17	0.1209132E-15
18	0.1211254E-15
19	0.2001549E-15
20	0.2014776E-14
21	0.3325737E-15
22	0.2888499E-15
23	0.4949741E-15
24	0.9638347E-15
25	0.5375650E-15
26	0.6004378E-15
27	0.1487821E-14
28	0.1604639E-14
