# J 	 flux erg/s/cm2
1	0.4366468E-06
2	0.2343512E-05
3	0.5819490E-05
4	0.1075857E-04
5	0.1215527E-04
6	0.3022302E-05
7	0.7104504E-07
8	0.1186486E-07
9	0.1034311E-07
10	0.1372067E-07
11	0.1830636E-07
12	0.2388840E-07
13	0.3051848E-07
14	0.3826030E-07
15	0.4714419E-07
16	0.5724497E-07
17	0.6859670E-07
18	0.8126192E-07
