# J 	 flux erg/s/cm2
1	0.1434171E-05
2	0.1526568E-04
3	0.5472546E-04
4	0.1278039E-03
5	0.2343335E-03
6	0.3642949E-03
7	0.4951529E-03
8	0.5932438E-03
9	0.6133051E-03
10	0.5105671E-03
11	0.3094760E-03
12	0.1294631E-03
13	0.5028869E-04
14	0.3079479E-04
15	0.2770907E-04
16	0.2844295E-04
17	0.2779654E-04
18	0.2085313E-04
