# J 	 flux erg/s/cm2
1	0.3737194E-06
2	0.1923722E-05
3	0.5874723E-05
4	0.1592564E-04
5	0.2909090E-04
6	0.2832160E-04
7	0.4499223E-05
8	0.2117833E-08
9	0.3731103E-10
10	0.1988773E-10
11	0.4958981E-10
12	0.6840674E-10
13	0.9115933E-10
14	0.1181508E-09
15	0.1495982E-09
16	0.1856951E-09
17	0.2265746E-09
18	0.2724805E-09
