#  J   Flux (erg s**-1 cm**-2)
   1   1.1919e-07
   2   6.8801e-07
   3   1.2032e-06
   4   8.7902e-07
   5   2.4938e-07
   6   3.8334e-08
   7   4.5522e-09
   8   4.2908e-10
   9   3.0316e-11
  10   1.8259e-12
  11   1.1373e-13
  12   1.6079e-14
  13   4.5145e-15
  14   1.3477e-15
  15   3.4118e-16
