#  J   Flux (erg s**-1 cm**-2)
   1   3.0040e-07
   2   2.4228e-06
   3   6.8550e-06
   4   1.2133e-05
   5   1.4960e-05
   6   1.0857e-05
   7   3.8397e-06
   8   7.9419e-07
   9   1.3383e-07
  10   3.4809e-08
  11   2.1803e-08
  12   1.9434e-08
  13   1.8416e-08
  14   1.7511e-08
  15   1.6424e-08
  16   1.5130e-08
  17   1.3628e-08
  18   1.1995e-08
  19   1.0292e-08
  20   8.6080e-09
  21   7.0183e-09
  22   5.5713e-09
  23   4.3103e-09
  24   3.2503e-09
  25   2.3845e-09
  26   1.7009e-09
  27   1.1812e-09
  28   7.9796e-10
  29   5.2521e-10
  30   3.3672e-10
  31   2.1005e-10
  32   1.2780e-10
  33   7.5524e-11
  34   4.3624e-11
  35   2.4548e-11
  36   1.3477e-11
  37   7.2131e-12
  38   3.7599e-12
  39   1.9139e-12
  40   9.5567e-13
  41   4.5804e-13
  42   2.1941e-13
  43   1.0317e-13
  44   4.7664e-14
  45   2.1620e-14
  46   9.6510e-15
  47   4.2518e-15
  48   1.8674e-15
