#  J   Flux (erg s**-1 cm**-2)
   1   6.8675e-07
   2   6.0249e-06
   3   1.9830e-05
   4   4.4359e-05
   5   8.0048e-05
   6   1.2504e-04
   7   1.7461e-04
   8   2.1966e-04
   9   2.4328e-04
  10   2.1243e-04
  11   1.1743e-04
  12   3.9012e-05
  13   9.1483e-06
  14   1.7448e-06
  15   3.0706e-07
  16   7.0937e-08
  17   2.9952e-08
  18   1.8504e-08
  19   1.2466e-08
  20   8.4195e-09
  21   5.6065e-09
  22   3.6870e-09
  23   2.3958e-09
  24   1.5381e-09
  25   9.7389e-10
  26   6.0915e-10
  27   3.7661e-10
  28   2.2978e-10
  29   1.3880e-10
  30   8.2812e-11
  31   4.8952e-11
  32   2.8595e-11
  33   1.6550e-11
  34   9.4625e-12
  35   5.3608e-12
  36   3.0059e-12
  37   1.6657e-12
  38   9.1295e-13
  39   4.9361e-13
  40   2.5937e-13
  41   1.2994e-13
  42   7.1565e-14
  43   3.9559e-14
