# AV             Temperature    H              H2             C              CO
  0.0000000E+00  0.3753941E+04  0.3162259E+06  0.1655853E+00  0.7314064E-04  0.2925513E-06
  0.1000026E-05  0.3753938E+04  0.3162259E+06  0.1655870E+00  0.7314269E-04  0.2925548E-06
  0.1047156E-05  0.3753937E+04  0.3162259E+06  0.1655871E+00  0.7314276E-04  0.2925549E-06
  0.1096506E-05  0.3753937E+04  0.3162259E+06  0.1655872E+00  0.7314282E-04  0.2925551E-06
  0.1148183E-05  0.3753937E+04  0.3162259E+06  0.1655873E+00  0.7314285E-04  0.2925553E-06
  0.1202296E-05  0.3753937E+04  0.3162259E+06  0.1655874E+00  0.7314291E-04  0.2925555E-06
  0.1258958E-05  0.3753937E+04  0.3162259E+06  0.1655875E+00  0.7314298E-04  0.2925557E-06
  0.1318291E-05  0.3753936E+04  0.3162259E+06  0.1655875E+00  0.7314304E-04  0.2925559E-06
  0.1380420E-05  0.3753936E+04  0.3162259E+06  0.1655876E+00  0.7314310E-04  0.2925561E-06
  0.1445477E-05  0.3753936E+04  0.3162259E+06  0.1655878E+00  0.7314317E-04  0.2925563E-06
  0.1513600E-05  0.3753936E+04  0.3162259E+06  0.1655879E+00  0.7314323E-04  0.2925565E-06
  0.1584934E-05  0.3753935E+04  0.3162259E+06  0.1655880E+00  0.7314329E-04  0.2925568E-06
  0.1659629E-05  0.3753935E+04  0.3162259E+06  0.1655881E+00  0.7314336E-04  0.2925570E-06
  0.1737845E-05  0.3753935E+04  0.3162259E+06  0.1655883E+00  0.7314342E-04  0.2925573E-06
  0.1819749E-05  0.3753935E+04  0.3162259E+06  0.1655884E+00  0.7314348E-04  0.2925576E-06
  0.1905511E-05  0.3753934E+04  0.3162259E+06  0.1655886E+00  0.7314355E-04  0.2925579E-06
  0.1995315E-05  0.3753934E+04  0.3162259E+06  0.1655887E+00  0.7314364E-04  0.2925582E-06
  0.2089352E-05  0.3753934E+04  0.3162259E+06  0.1655889E+00  0.7314370E-04  0.2925585E-06
  0.2187819E-05  0.3753933E+04  0.3162259E+06  0.1655890E+00  0.7314380E-04  0.2925589E-06
  0.2290928E-05  0.3753933E+04  0.3162259E+06  0.1655892E+00  0.7314386E-04  0.2925592E-06
  0.2398896E-05  0.3753932E+04  0.3162259E+06  0.1655894E+00  0.7314396E-04  0.2925596E-06
  0.2511953E-05  0.3753932E+04  0.3162259E+06  0.1655896E+00  0.7314405E-04  0.2925600E-06
  0.2630337E-05  0.3753932E+04  0.3162259E+06  0.1655898E+00  0.7314415E-04  0.2925604E-06
  0.2754301E-05  0.3753931E+04  0.3162259E+06  0.1655900E+00  0.7314424E-04  0.2925608E-06
  0.2884107E-05  0.3753931E+04  0.3162259E+06  0.1655902E+00  0.7314434E-04  0.2925613E-06
  0.3020031E-05  0.3753930E+04  0.3162259E+06  0.1655905E+00  0.7314443E-04  0.2925618E-06
  0.3162360E-05  0.3753930E+04  0.3162259E+06  0.1655907E+00  0.7314453E-04  0.2925623E-06
  0.3311397E-05  0.3753929E+04  0.3162259E+06  0.1655910E+00  0.7314462E-04  0.2925628E-06
  0.3467459E-05  0.3753928E+04  0.3162259E+06  0.1655912E+00  0.7314475E-04  0.2925633E-06
  0.3630875E-05  0.3753928E+04  0.3162259E+06  0.1655915E+00  0.7314484E-04  0.2925639E-06
  0.3801992E-05  0.3753927E+04  0.3162259E+06  0.1655918E+00  0.7314497E-04  0.2925645E-06
  0.3981174E-05  0.3753926E+04  0.3162259E+06  0.1655921E+00  0.7314506E-04  0.2925651E-06
  0.4168801E-05  0.3753926E+04  0.3162259E+06  0.1655924E+00  0.7314519E-04  0.2925657E-06
  0.4365271E-05  0.3753925E+04  0.3162259E+06  0.1655928E+00  0.7314532E-04  0.2925664E-06
  0.4571000E-05  0.3753924E+04  0.3162259E+06  0.1655931E+00  0.7314544E-04  0.2925671E-06
  0.4786424E-05  0.3753923E+04  0.3162259E+06  0.1655935E+00  0.7314557E-04  0.2925679E-06
  0.5012001E-05  0.3753923E+04  0.3162259E+06  0.1655939E+00  0.7314573E-04  0.2925687E-06
  0.5248215E-05  0.3753922E+04  0.3162259E+06  0.1655943E+00  0.7314585E-04  0.2925695E-06
  0.5495549E-05  0.3753921E+04  0.3162259E+06  0.1655947E+00  0.7314601E-04  0.2925704E-06
  0.5754552E-05  0.3753920E+04  0.3162259E+06  0.1655951E+00  0.7314617E-04  0.2925712E-06
  0.6025749E-05  0.3753919E+04  0.3162259E+06  0.1655956E+00  0.7314633E-04  0.2925722E-06
  0.6309739E-05  0.3753918E+04  0.3162259E+06  0.1655961E+00  0.7314649E-04  0.2925732E-06
  0.6607110E-05  0.3753917E+04  0.3162259E+06  0.1655966E+00  0.7314665E-04  0.2925742E-06
  0.6918491E-05  0.3753915E+04  0.3162259E+06  0.1655971E+00  0.7314684E-04  0.2925753E-06
  0.7244550E-05  0.3753914E+04  0.3162259E+06  0.1655977E+00  0.7314699E-04  0.2925764E-06
  0.7585976E-05  0.3753913E+04  0.3162259E+06  0.1655983E+00  0.7314718E-04  0.2925776E-06
  0.7943492E-05  0.3753912E+04  0.3162259E+06  0.1655989E+00  0.7314737E-04  0.2925788E-06
  0.8317853E-05  0.3753910E+04  0.3162259E+06  0.1655995E+00  0.7314756E-04  0.2925801E-06
  0.8709864E-05  0.3753909E+04  0.3162259E+06  0.1656002E+00  0.7314778E-04  0.2925815E-06
  0.9120345E-05  0.3753907E+04  0.3162259E+06  0.1656009E+00  0.7314801E-04  0.2925829E-06
  0.9550176E-05  0.3753905E+04  0.3162259E+06  0.1656016E+00  0.7314819E-04  0.2925844E-06
  0.1000026E-04  0.3753904E+04  0.3162259E+06  0.1656024E+00  0.7314845E-04  0.2925860E-06
  0.1047156E-04  0.3753902E+04  0.3162259E+06  0.1656032E+00  0.7314867E-04  0.2925876E-06
  0.1096506E-04  0.3753900E+04  0.3162259E+06  0.1656040E+00  0.7314892E-04  0.2925893E-06
  0.1148183E-04  0.3753898E+04  0.3162259E+06  0.1656049E+00  0.7314918E-04  0.2925911E-06
  0.1202296E-04  0.3753896E+04  0.3162259E+06  0.1656058E+00  0.7314943E-04  0.2925930E-06
  0.1258958E-04  0.3753894E+04  0.3162259E+06  0.1656068E+00  0.7314968E-04  0.2925949E-06
  0.1318291E-04  0.3753892E+04  0.3162259E+06  0.1656078E+00  0.7314997E-04  0.2925970E-06
  0.1380420E-04  0.3753889E+04  0.3162259E+06  0.1656089E+00  0.7315025E-04  0.2925992E-06
  0.1445477E-04  0.3753887E+04  0.3162259E+06  0.1656100E+00  0.7315057E-04  0.2926014E-06
  0.1513600E-04  0.3753884E+04  0.3162259E+06  0.1656112E+00  0.7315088E-04  0.2926038E-06
  0.1584934E-04  0.3753882E+04  0.3162259E+06  0.1656124E+00  0.7315120E-04  0.2926063E-06
  0.1659631E-04  0.3753879E+04  0.3162259E+06  0.1656136E+00  0.7315152E-04  0.2926088E-06
  0.1737845E-04  0.3753876E+04  0.3162259E+06  0.1656150E+00  0.7315186E-04  0.2926116E-06
  0.1819749E-04  0.3753873E+04  0.3162259E+06  0.1656164E+00  0.7315224E-04  0.2926144E-06
  0.1905509E-04  0.3753870E+04  0.3162259E+06  0.1656178E+00  0.7315262E-04  0.2926174E-06
  0.1995315E-04  0.3753866E+04  0.3162259E+06  0.1656194E+00  0.7315300E-04  0.2926205E-06
  0.2089352E-04  0.3753863E+04  0.3162259E+06  0.1656210E+00  0.7315338E-04  0.2926237E-06
  0.2187819E-04  0.3753859E+04  0.3162259E+06  0.1656227E+00  0.7315382E-04  0.2926272E-06
  0.2290928E-04  0.3753855E+04  0.3162259E+06  0.1656244E+00  0.7315423E-04  0.2926308E-06
  0.2398896E-04  0.3753851E+04  0.3162259E+06  0.1656263E+00  0.7315468E-04  0.2926345E-06
  0.2511953E-04  0.3753847E+04  0.3162259E+06  0.1656282E+00  0.7315515E-04  0.2926384E-06
  0.2630337E-04  0.3753842E+04  0.3162259E+06  0.1656302E+00  0.7315563E-04  0.2926425E-06
  0.2754301E-04  0.3753838E+04  0.3162259E+06  0.1656324E+00  0.7315613E-04  0.2926468E-06
  0.2884107E-04  0.3753833E+04  0.3162259E+06  0.1656346E+00  0.7315667E-04  0.2926513E-06
  0.3020031E-04  0.3753828E+04  0.3162259E+06  0.1656369E+00  0.7315721E-04  0.2926560E-06
  0.3162360E-04  0.3753822E+04  0.3162259E+06  0.1656393E+00  0.7315778E-04  0.2926610E-06
  0.3311398E-04  0.3753817E+04  0.3162259E+06  0.1656419E+00  0.7315835E-04  0.2926661E-06
  0.3467459E-04  0.3753811E+04  0.3162259E+06  0.1656445E+00  0.7315895E-04  0.2926716E-06
  0.3630875E-04  0.3753805E+04  0.3162259E+06  0.1656473E+00  0.7315958E-04  0.2926772E-06
  0.3801992E-04  0.3753798E+04  0.3162259E+06  0.1656503E+00  0.7316024E-04  0.2926832E-06
  0.3981174E-04  0.3753792E+04  0.3162259E+06  0.1656533E+00  0.7316091E-04  0.2926894E-06
  0.4168802E-04  0.3753785E+04  0.3162259E+06  0.1656565E+00  0.7316163E-04  0.2926959E-06
  0.4365271E-04  0.3753777E+04  0.3162259E+06  0.1656599E+00  0.7316236E-04  0.2927027E-06
  0.4571000E-04  0.3753769E+04  0.3162259E+06  0.1656634E+00  0.7316312E-04  0.2927098E-06
  0.4786424E-04  0.3753761E+04  0.3162259E+06  0.1656671E+00  0.7316391E-04  0.2927173E-06
  0.5012001E-04  0.3753753E+04  0.3162259E+06  0.1656709E+00  0.7316477E-04  0.2927252E-06
  0.5248215E-04  0.3753744E+04  0.3162259E+06  0.1656750E+00  0.7316562E-04  0.2927333E-06
  0.5495549E-04  0.3753735E+04  0.3162259E+06  0.1656792E+00  0.7316650E-04  0.2927419E-06
  0.5754553E-04  0.3753725E+04  0.3162259E+06  0.1656836E+00  0.7316745E-04  0.2927509E-06
  0.6025749E-04  0.3753715E+04  0.3162259E+06  0.1656883E+00  0.7316840E-04  0.2927603E-06
  0.6309739E-04  0.3753704E+04  0.3162259E+06  0.1656931E+00  0.7316941E-04  0.2927702E-06
  0.6607110E-04  0.3753693E+04  0.3162259E+06  0.1656982E+00  0.7317049E-04  0.2927805E-06
  0.6918491E-04  0.3753681E+04  0.3162259E+06  0.1657035E+00  0.7317156E-04  0.2927913E-06
  0.7244550E-04  0.3753669E+04  0.3162259E+06  0.1657091E+00  0.7317270E-04  0.2928027E-06
  0.7585976E-04  0.3753656E+04  0.3162259E+06  0.1657150E+00  0.7317390E-04  0.2928145E-06
  0.7943492E-04  0.3753643E+04  0.3162259E+06  0.1657211E+00  0.7317514E-04  0.2928269E-06
  0.8317853E-04  0.3753629E+04  0.3162259E+06  0.1657274E+00  0.7317643E-04  0.2928399E-06
  0.8709864E-04  0.3753614E+04  0.3162259E+06  0.1657342E+00  0.7317776E-04  0.2928535E-06
  0.9120345E-04  0.3753598E+04  0.3162259E+06  0.1657412E+00  0.7317915E-04  0.2928678E-06
  0.9550176E-04  0.3753582E+04  0.3162259E+06  0.1657485E+00  0.7318061E-04  0.2928827E-06
  0.1000026E-03  0.3753565E+04  0.3162259E+06  0.1657562E+00  0.7318213E-04  0.2928983E-06
  0.1047156E-03  0.3753548E+04  0.3162259E+06  0.1657643E+00  0.7318371E-04  0.2929147E-06
  0.1096506E-03  0.3753529E+04  0.3162259E+06  0.1657727E+00  0.7318535E-04  0.2929318E-06
  0.1148183E-03  0.3753510E+04  0.3162259E+06  0.1657816E+00  0.7318709E-04  0.2929498E-06
  0.1202296E-03  0.3753489E+04  0.3162259E+06  0.1657909E+00  0.7318886E-04  0.2929686E-06
  0.1258958E-03  0.3753468E+04  0.3162259E+06  0.1658005E+00  0.7319073E-04  0.2929883E-06
  0.1318291E-03  0.3753446E+04  0.3162259E+06  0.1658107E+00  0.7319269E-04  0.2930089E-06
  0.1380421E-03  0.3753422E+04  0.3162259E+06  0.1658213E+00  0.7319471E-04  0.2930305E-06
  0.1445478E-03  0.3753398E+04  0.3162259E+06  0.1658325E+00  0.7319683E-04  0.2930531E-06
  0.1513601E-03  0.3753372E+04  0.3162259E+06  0.1658441E+00  0.7319901E-04  0.2930768E-06
  0.1584935E-03  0.3753345E+04  0.3162259E+06  0.1658563E+00  0.7320132E-04  0.2931016E-06
  0.1659630E-03  0.3753317E+04  0.3162259E+06  0.1658691E+00  0.7320372E-04  0.2931276E-06
  0.1737846E-03  0.3753288E+04  0.3162259E+06  0.1658825E+00  0.7320622E-04  0.2931547E-06
  0.1819748E-03  0.3753257E+04  0.3162259E+06  0.1658965E+00  0.7320885E-04  0.2931832E-06
  0.1905511E-03  0.3753225E+04  0.3162259E+06  0.1659112E+00  0.7321157E-04  0.2932131E-06
  0.1995315E-03  0.3753191E+04  0.3162259E+06  0.1659266E+00  0.7321441E-04  0.2932443E-06
  0.2089350E-03  0.3753156E+04  0.3162259E+06  0.1659427E+00  0.7321739E-04  0.2932770E-06
  0.2187818E-03  0.3753119E+04  0.3162259E+06  0.1659596E+00  0.7322045E-04  0.2933112E-06
  0.2290927E-03  0.3753080E+04  0.3162259E+06  0.1659773E+00  0.7322371E-04  0.2933471E-06
  0.2398896E-03  0.3753039E+04  0.3162259E+06  0.1659958E+00  0.7322706E-04  0.2933847E-06
  0.2511953E-03  0.3752997E+04  0.3162259E+06  0.1660152E+00  0.7323057E-04  0.2934241E-06
  0.2630337E-03  0.3752952E+04  0.3162259E+06  0.1660355E+00  0.7323427E-04  0.2934653E-06
  0.2754301E-03  0.3752906E+04  0.3162259E+06  0.1660567E+00  0.7323810E-04  0.2935085E-06
  0.2884107E-03  0.3752857E+04  0.3162259E+06  0.1660790E+00  0.7324208E-04  0.2935537E-06
  0.3020031E-03  0.3752806E+04  0.3162259E+06  0.1661023E+00  0.7324629E-04  0.2936010E-06
  0.3162360E-03  0.3752752E+04  0.3162259E+06  0.1661267E+00  0.7325065E-04  0.2936507E-06
  0.3311397E-03  0.3752696E+04  0.3162259E+06  0.1661523E+00  0.7325521E-04  0.2937026E-06
  0.3467459E-03  0.3752637E+04  0.3162259E+06  0.1661791E+00  0.7325995E-04  0.2937570E-06
  0.3630874E-03  0.3752576E+04  0.3162259E+06  0.1662072E+00  0.7326491E-04  0.2938140E-06
  0.3801992E-03  0.3752512E+04  0.3162259E+06  0.1662366E+00  0.7327013E-04  0.2938737E-06
  0.3981174E-03  0.3752444E+04  0.3162259E+06  0.1662673E+00  0.7327554E-04  0.2939362E-06
  0.4168801E-03  0.3752374E+04  0.3162259E+06  0.1662996E+00  0.7328120E-04  0.2940017E-06
  0.4365273E-03  0.3752300E+04  0.3162259E+06  0.1663334E+00  0.7328711E-04  0.2940703E-06
  0.4571002E-03  0.3752222E+04  0.3162259E+06  0.1663672E+00  0.7329328E-04  0.2941395E-06
  0.4786427E-03  0.3752141E+04  0.3162259E+06  0.1664022E+00  0.7329970E-04  0.2942110E-06
  0.5012004E-03  0.3752057E+04  0.3162259E+06  0.1664387E+00  0.7330644E-04  0.2942860E-06
  0.5248211E-03  0.3751968E+04  0.3162259E+06  0.1664770E+00  0.7331346E-04  0.2943644E-06
  0.5495552E-03  0.3751875E+04  0.3162259E+06  0.1665171E+00  0.7332079E-04  0.2944466E-06
  0.5754550E-03  0.3751777E+04  0.3162259E+06  0.1665591E+00  0.7332844E-04  0.2945327E-06
  0.6025753E-03  0.3751676E+04  0.3162259E+06  0.1666031E+00  0.7333648E-04  0.2946228E-06
  0.6309739E-03  0.3751569E+04  0.3162259E+06  0.1666492E+00  0.7334486E-04  0.2947173E-06
  0.6607104E-03  0.3751457E+04  0.3162259E+06  0.1666975E+00  0.7335358E-04  0.2948163E-06
  0.6918491E-03  0.3751340E+04  0.3162259E+06  0.1667481E+00  0.7336276E-04  0.2949199E-06
  0.7244544E-03  0.3751217E+04  0.3162259E+06  0.1668011E+00  0.7337231E-04  0.2950285E-06
  0.7585976E-03  0.3751089E+04  0.3162259E+06  0.1668566E+00  0.7338230E-04  0.2951423E-06
  0.7943492E-03  0.3750955E+04  0.3162259E+06  0.1669148E+00  0.7339277E-04  0.2952615E-06
  0.8317859E-03  0.3750814E+04  0.3162259E+06  0.1669757E+00  0.7340368E-04  0.2953864E-06
  0.8709864E-03  0.3750667E+04  0.3162259E+06  0.1670395E+00  0.7341509E-04  0.2955173E-06
  0.9120345E-03  0.3750512E+04  0.3162259E+06  0.1671064E+00  0.7342704E-04  0.2956544E-06
  0.9550176E-03  0.3750351E+04  0.3162259E+06  0.1671765E+00  0.7343950E-04  0.2957980E-06
  0.1000026E-02  0.3750182E+04  0.3162259E+06  0.1672499E+00  0.7345256E-04  0.2959485E-06
  0.1047156E-02  0.3750005E+04  0.3162259E+06  0.1673268E+00  0.7346623E-04  0.2961062E-06
  0.1096506E-02  0.3749819E+04  0.3162259E+06  0.1674074E+00  0.7348049E-04  0.2962715E-06
